scaffold	representative	dereplication_status
RCPF01000001.1	GCA_003642525.1	dereplication_representative
DASDLM010000013.1	GCA_003642525.1	readded_by_cluster_content
AAAUAI010000028.1	GCA_003642525.1	readded_by_cluster_content
ABDQRO010000001.1	GCA_003642525.1	readded_by_cluster_content
AANDLJ010000029.1	GCA_003642525.1	readded_by_cluster_content
DAAJRA010000067.1	GCA_003642525.1	redundant
NZ_MRYJ01000040.1	GCA_003642525.1	redundant
NZ_JAGSEP010000008.1	GCA_003642525.1	redundant
AAAULF010000011.1	GCA_003642525.1	redundant
AAAMMK010000067.1	GCA_003642525.1	redundant
AAALVF010000003.1	GCA_003642525.1	redundant
ABBTOU010000008.1	GCA_003642525.1	redundant
AABBGZ010000026.1	GCA_003642525.1	redundant
NZ_MJRO01000019.1	GCA_003642525.1	redundant
AACJOZ010000002.1	GCA_003642525.1	redundant
AABFQW010000001.1	GCA_003642525.1	redundant
DASCEX010000028.1	GCA_003642525.1	redundant
AAALUK010000001.1	GCA_003642525.1	redundant
DAKXQP010000095.1	GCA_003642525.1	redundant
DAAKCX010000001.1	GCA_003642525.1	redundant
ABESUW010000001.1	GCA_003642525.1	redundant
ABIDXU010000006.1	GCA_003642525.1	redundant
DAEVBL010000019.1	GCA_003642525.1	redundant
AAQORE010000001.1	GCA_003642525.1	redundant
ABCFGA010000001.1	GCA_003642525.1	redundant
DAKXQC010000044.1	GCA_003642525.1	redundant
AAALDI010000001.1	GCA_003642525.1	redundant
AAVWFP010000012.1	GCA_003642525.1	redundant
DAAFAW010000076.1	GCA_003642525.1	redundant
AAQPRN010000037.1	GCA_003642525.1	redundant
AAQPGS010000019.1	GCA_003642525.1	redundant
AAVWFQ010000020.1	GCA_003642525.1	redundant
AAAUCN010000048.1	GCA_003642525.1	redundant
AAAYFZ010000001.1	GCA_003642525.1	redundant
NZ_LNNW01000005.1	GCA_003642525.1	redundant
ABGRPE010000001.1	GCA_003642525.1	redundant
AABDIF010000068.1	GCA_003642525.1	redundant
AABCDF010000014.1	GCA_003642525.1	redundant
NZ_MTQZ01000003.1	GCA_003642525.1	redundant
AAAPIY010000050.1	GCA_003642525.1	redundant
NZ_LFVS02000022.1	GCA_003642525.1	redundant
ABDRWM010000001.1	GCA_003642525.1	redundant
DAABUL010000001.1	GCA_003642525.1	redundant
ABFNFJ010000005.1	GCA_003642525.1	redundant
ABFBME010000002.1	GCA_003642525.1	redundant
NZ_MTQQ01000020.1	GCA_003642525.1	redundant
ABDDXI010000001.1	GCA_003642525.1	redundant
AAAPIF010000059.1	GCA_003642525.1	redundant
AAAUAE010000001.1	GCA_003642525.1	redundant
NZ_LHSD01000001.1	GCA_003642525.1	redundant
AABGQB010000003.1	GCA_003642525.1	redundant
ABCFBK010000001.1	GCA_003642525.1	redundant
NZ_QXKV01000001.1	GCA_003642525.1	redundant
DAAKIM010000003.1	GCA_003642525.1	redundant
AAIAOW010000020.1	GCA_003642525.1	redundant
AAVPCL010000038.1	GCA_003642525.1	redundant
AAATCH010000001.1	GCA_003642525.1	redundant
ABAXSE010000015.1	GCA_003642525.1	redundant
AAVPAZ010000037.1	GCA_003642525.1	redundant
NZ_NXQN01000019.1	GCA_003642525.1	redundant
AAAKPP010000015.1	GCA_003642525.1	redundant
AAAXDQ010000001.1	GCA_003642525.1	redundant
AAAKOG010000046.1	GCA_003642525.1	redundant
AAQQNQ010000002.1	GCA_003642525.1	redundant
AAAUSO010000001.1	GCA_003642525.1	redundant
ABDJWM010000001.1	GCA_003642525.1	redundant
AAAXUC010000016.1	GCA_003642525.1	redundant
ABCFAX010000001.1	GCA_003642525.1	redundant
AAALYI010000016.1	GCA_003642525.1	redundant
AAAWZO010000003.1	GCA_003642525.1	redundant
DAPFAM010000043.1	GCA_003642525.1	redundant
AABAJQ010000020.1	GCA_003642525.1	redundant
AAAJYA010000001.1	GCA_003642525.1	redundant
AAAZGZ010000016.1	GCA_003642525.1	redundant
