representative	cluster_size
GCA_003242745.2_ASM324274v2_genomic.fna.gz	9
GCA_026339805.1_ASM2633980v1_genomic.fna.gz	1
GCA_030269085.1_ASM3026908v1_genomic.fna.gz	2
GCA_036226345.1_ASM3622634v1_genomic.fna.gz	2
GCA_036227045.1_ASM3622704v1_genomic.fna.gz	2
GCA_040303385.1_ASM4030338v1_genomic.fna.gz	3
GCA_040610835.1_ASM4061083v1_genomic.fna.gz	36
GCA_040631575.1_ASM4063157v1_genomic.fna.gz	3
GCA_040631635.1_ASM4063163v1_genomic.fna.gz	1
GCA_040643315.1_ASM4064331v1_genomic.fna.gz	2
GCA_040677485.1_ASM4067748v1_genomic.fna.gz	1
GCA_041199445.1_ASM4119944v1_genomic.fna.gz	1
GCA_042902565.1_ASM4290256v1_genomic.fna.gz	6
GCA_043078625.1_ASM4307862v1_genomic.fna.gz	3
GCA_044544505.1_ASM4454450v1_genomic.fna.gz	1
GCA_044746925.1_ASM4474692v1_genomic.fna.gz	2
GCA_044763835.1_ASM4476383v1_genomic.fna.gz	2
GCA_046614775.1_ASM4661477v1_genomic.fna.gz	2
GCF_000024025.1_ASM2402v1_genomic.fna.gz	2
GCF_000154905.1_ASM15490v1_genomic.fna.gz	1
GCF_000158855.1_ASM15885v1_genomic.fna.gz	1
GCF_000158895.1_ASM15889v1_genomic.fna.gz	1
GCF_000158915.1_ASM15891v1_genomic.fna.gz	1
GCF_000166135.1_ASM16613v1_genomic.fna.gz	1
GCF_000177675.1_ASM17767v1_genomic.fna.gz	1
GCF_000220705.2_ASM22070v2_genomic.fna.gz	1
GCF_000225525.1_ASM22552v1_genomic.fna.gz	1
GCF_000239075.1_ASM23907v2_genomic.fna.gz	11
GCF_000262465.1_ASM26246v1_genomic.fna.gz	2
GCF_000280905.1_ASM28090v1_genomic.fna.gz	1
GCF_000297395.2_ASM29739v2_genomic.fna.gz	1
GCF_000297635.1_ASM29763v1_genomic.fna.gz	5
GCF_000299175.2_ASM29917v2_genomic.fna.gz	1
