	Organism	Scaffold	Start	End	Score	STS_Dehydrogenase	STS_E1-like	STS_StsA	STS_YcaO	assembly_file	representative	dereplication_status
1	Staphylococcus lugdunensis N920143	NC_017353.1	46308	48953	3.1767	1	1	0	1	GCF_000270465.1_ASM27046v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
2	Staphylococcus lugdunensis VISLISI_37	NZ_CP020761.1	165210	167855	3.1767	1	1	0	1	GCF_002096075.1_ASM209607v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
3	Staphylococcus lugdunensis VISLISI_33	NZ_CP020769.1	3047	5692	3.1767	1	1	0	1	GCF_002104555.1_ASM210455v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
4	Staphylococcus lugdunensis SL13	NZ_CP041722.1	759201	761846	3.1765	1	1	0	1	GCF_008728815.1_ASM872881v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
5	Staphylococcus lugdunensis SL29	NZ_CP041723.1	1750148	1752793	3.1767	1	1	0	1	GCF_008728715.1_ASM872871v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
6	Staphylococcus lugdunensis SL117	NZ_CP041725.1	2482974	2485619	3.1765	1	1	0	1	GCF_008728755.1_ASM872875v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
7	Staphylococcus lugdunensis SL122	NZ_CP041727.1	1787596	1790241	3.1767	1	1	0	1	GCF_008728795.1_ASM872879v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
8	Staphylococcus lugdunensis CGMH-SL118	NZ_CP048008.1	422391	425036	3.1767	1	1	0	1	GCF_020882195.1_ASM2088219v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
9	Staphylococcus lugdunensis RMLUG4	NZ_CP084440.1	822782	825427	3.1767	1	1	0	1	GCF_026427495.1_ASM2642749v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
10	Staphylococcus lugdunensis RMLUG5	NZ_CP084443.1	126994	129639	3.1767	1	1	0	1	GCF_026427515.1_ASM2642751v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
11	Staphylococcus lugdunensis SQ078	NZ_CP155636.1	64582	67227	3.1767	1	1	0	1	GCF_039700225.1_ASM3970022v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
12	Staphylococcus lugdunensis E1-48	NZ_JAKRKH010000002.1	167108	169753	3.1767	1	1	0	1	GCF_022568975.1_ASM2256897v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
13	Staphylococcus lugdunensis D3-12	NZ_JAKRKL010000003.1	317334	319979	3.1767	1	1	0	1	GCF_022569085.1_ASM2256908v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
14	Staphylococcus lugdunensis D2-19	NZ_JAKRKM010000002.1	165255	167900	3.1767	1	1	0	1	GCF_022569075.1_ASM2256907v1_genomic.fna.gz	GCF_037694565.1_ASM3769456v1_genomic.fna.gz	redundant
