Organism                                                           Scaffold              Start     End       Score    SCO5086  SCO5087  SCO5088  SCO5089
Streptomyces anthocyanicus NBC 01636                               NZ_CP109275.1         3212431   3216206   7.2423   1        1        1        1      
Streptomyces anthocyanicus NPDC000080                              NZ_JBEPFK010000234.1  5623      9398      7.2426   1        1        1        1      
Streptomyces anthocyanicus NPDC006591                              NZ_JBIAHH010000015.1  173136    176911    7.2423   1        1        1        1      
Streptomyces anthocyanicus NPDC005018                              NZ_JBEXIZ010000045.1  100       3875      4.1621   1        1        0        1      
Streptomyces lividans TK24 DG2-P41                                 CP071123.1            2970398   2974173   4.1484   1        0        1        1      
Streptomyces sp. NPDC059906                                        NZ_JBHWKU010000017.1  55        3830      7.2374   1        1        1        1      
Streptomyces sp. NPDC059906                                        NZ_JBHWKU010000054.1  13333     17238     6.1431   1        1        1        1      
Streptomyces sp. NPDC059906                                        NZ_JBHWKU010000010.1  34960     38552     6.1419   1        1        1        1      
Streptomyces sp. NPDC127039                                        NZ_JBHXDR010000049.1  61067     64842     7.2377   1        1        1        1      
Streptomyces sp. NPDC127039                                        NZ_JBHXDR010000107.1  10224     14130     6.1432   1        1        1        1      
Streptomyces sp. NPDC021969                                        NZ_JBFACC010000003.1  354360    358144    7.2363   1        1        1        1      
Streptomyces sp. NPDC001599                                        NZ_JBIAVA010000002.1  784102    787886    7.2362   1        1        1        1      
Streptomyces sp. R28                                               NZ_CP163439.1         6840189   6843994   7.2202   1        1        1        1      
Streptomyces sp. NPDC127595                                        NZ_JBHXWK010000008.1  351841    355643    7.2165   1        1        1        1      
Streptomyces sp. MMG1533                                           NZ_LGDG01000213.1     162276    166048    7.2185   1        1        1        1      
Streptomyces sp. AS02                                              NZ_JAMJVZ010000048.1  19060     22836     7.2215   1        1        1        1      
Streptomyces sp. NPDC008086                                        NZ_JBIBIA010000010.1  47421     51212     7.2206   1        1        1        1      
Streptomyces sp. NPDC052721                                        NZ_JBFATL010000054.1  17231     21008     7.2227   1        1        1        1      
Streptomyces sp. NPDC004065                                        NZ_JBJDQT010000020.1  143287    147126    7.2154   1        1        1        1      
Streptomyces sp. WAC 01325                                         NZ_QHKK01000050.1     30059     34224     7.1678   1        1        1        1      
Streptomyces sp. NPDC050481                                        NZ_JBITHS010000008.1  150756    155239    7.1686   1        1        1        1      
Streptomyces sp. NPDC050481                                        NZ_JBITHS010000033.1  75942     79580     6.1429   1        1        1        1      
Streptomyces sp. NPDC050481                                        NZ_JBITHS010000046.1  23502     27103     6.1469   1        1        1        1      
Streptomyces sp. NPDC093568                                        NZ_JBIWJD010000030.1  156       4321      7.1685   1        1        1        1      
Streptomyces sp. NPDC091972                                        NZ_JBIVSV010000004.1  620743    625629    7.1693   1        1        1        1      
Streptomyces sp. NPDC086033                                        NZ_JBITRW010000002.1  628246    632714    7.1677   1        1        1        1      
Streptomyces sp. NPDC048219                                        NZ_JBIDAB010000028.1  66498     83182     6.1620   1        1        1        1      
Streptomyces sp. Y7                                                NZ_JBIDDQ010000011.1  98075     102240    7.1679   1        1        1        1      
Streptomyces sp. Root369                                           NZ_LMDL01000031.1     38360     42631     7.1687   1        1        1        1      
Streptomyces sp. NPDC102476                                        NZ_JBIWJW010000002.1  341563    346396    7.1685   1        1        1        1      
Streptomyces sp. NPDC102476                                        NZ_JBIWJW010000012.1  280406    284007    6.1467   1        1        1        1      
Streptomyces sp. 12257                                             NZ_JASCSJ010000021.1  356       3958      5.1510   1        1        1        0      
Streptomyces sp. SID5464                                           NZ_WWIQ01000009.1     9456      25960     6.1581   1        1        1        1      
Streptomyces sp. SAI-090                                           NZ_JARXYL010000001.1  6401046   6406122   7.1686   1        1        1        1      
Streptomyces sp. SAI-127                                           NZ_JARXYJ010000001.1  7415535   7419804   7.1682   1        1        1        1      
Streptomyces sp. SAI-127                                           NZ_JARXYJ010000001.1  5798999   5802650   6.1448   1        1        1        1      
Streptomyces sp. NPDC001507                                        NZ_JBIAVV010000007.1  116926    121092    7.1650   1        1        1        1      
Streptomyces sp. NPDC001507                                        NZ_JBIAVV010000003.1  468083    472122    6.1439   1        1        1        1      
Streptomyces sp. NPDC056683                                        NZ_JBHTXT010000005.1  184366    188532    7.1655   1        1        1        1      
Streptomyces sp. NPDC056683                                        NZ_JBHTXT010000009.1  105616    109839    6.1439   1        1        1        1      
Streptomyces sp. NPDC041068                                        NZ_JBEZCG010000005.1  182068    196050    7.1621   1        1        1        1      
Streptomyces sp. NPDC041068                                        NZ_JBEZCG010000008.1  295665    299315    6.1395   1        1        1        1      
Streptomyces sp. NPDC007157                                        NZ_JBEYFE010000001.1  22726     26892     7.1654   1        1        1        1      
Streptomyces sp. NPDC007157                                        NZ_JBEYFE010000008.1  26834     30697     6.1457   1        1        1        1      
Streptomyces sp. NBC_00138                                         NZ_CP108177.1         4523675   4530458   5.1606   1        1        1        1      
Streptomyces sp. SM5                                               NZ_NEUG01000484.1     51866     58263     6.1604   1        1        1        1      
Streptomyces sp. NPDC102270                                        NZ_JBIWLX010000020.1  178909    184120    7.1619   1        1        1        1      
Streptomyces sp. NPDC101133                                        NZ_JBIVYW010000004.1  596690    614840    5.1569   1        1        1        1      
Streptomyces sp. NPDC006324                                        NZ_JBEXRE010000714.1  47        2823      5.1223   0        1        1        1      
Streptomyces sp. NPDC006183                                        NZ_JBEXTF010000049.1  700       7097      6.1611   1        1        1        1      
Streptomyces sp. NPDC093111                                        NZ_JBFBNW010000010.1  211423    217819    6.1596   1        1        1        1      
Streptomyces sp. NRRL WC-3549                                      NZ_KL585414.1         34058     40396     6.1599   1        1        1        1      
Streptomyces sp. NPDC000070                                        NZ_JBEPFN010000018.1  30103     41435     6.1576   1        1        1        1      
Streptomyces sp. NPDC090499                                        NZ_JBIVXP010000019.1  25279     29445     7.1647   1        1        1        1      
Streptomyces sp. NPDC090499                                        NZ_JBIVXP010000001.1  1522548   1526712   6.1440   1        1        1        1      
Streptomyces sp. NPDC049627                                        NZ_JBITLW010000005.1  168911    185955    6.1655   1        1        1        1      
Streptomyces sp. NPDC049627                                        NZ_JBITLW010000018.1  181634    185421    6.1448   1        1        1        1      
Streptomyces sp. NPDC058773                                        NZ_JBHYPE010000006.1  83401     91468     6.1578   1        1        1        1      
Streptomyces sp. NPDC001796                                        NZ_JBIAUC010000002.1  311001    331164    6.1621   1        1        1        1      
Streptomyces sp. NPDC059786                                        NZ_JBHWHW010000058.1  1126      3903      5.1224   0        1        1        1      
Streptomyces sp. NBC_01622                                         NZ_CP109293.1         7708370   7725206   6.1631   1        1        1        1      
Streptomyces sp. NPDC086777                                        NZ_JBFBJI010000055.1  27511     31677     7.1640   1        1        1        1      
Streptomyces sp. NPDC086777                                        NZ_JBFBJI010000024.1  128458    132679    6.1440   1        1        1        1      
Streptomyces sp. NPDC050538                                        NZ_JBITHC010000008.1  439803    457388    6.1647   1        1        1        1      
Streptomyces sp. NPDC013157                                        NZ_JBIBAK010000001.1  954355    960913    6.1693   1        1        1        1      
Streptomyces sp. NPDC013157                                        NZ_JBIBAK010000006.1  118716    122740    6.1432   1        1        1        1      
Streptomyces sp. NPDC093984                                        NZ_JBIWIM010000004.1  345146    365296    6.1618   1        1        1        1      
Streptomyces sp. HU2014                                            NZ_CP097123.1         4832449   4836293   7.1686   1        1        1        1      
Streptomyces sp. HU2014                                            NZ_CP097123.1         2812192   2816006   6.1451   1        1        1        1      
Streptomyces sp. NPDC095613                                        NZ_JBEOTH010000031.1  1171      8763      7.1642   1        1        1        1      
Streptomyces sp. NRRL F-5135                                       NZ_JOHR01000006.1     151898    159506    7.1639   1        1        1        1      
Streptomyces sp. NPDC040750                                        NZ_JBEZCL010000001.1  290275    310333    6.1635   1        1        1        1      
Streptomyces sp. NPDC048362                                        NZ_JBICYK010000011.1  102900    122958    6.1634   1        1        1        1      
Streptomyces sp. NPDC051452                                        NZ_JBITEB010000010.1  116586    136634    6.1635   1        1        1        1      
Streptomyces sp. NPDC088196                                        NZ_JBFBIU010000015.1  97737     116575    6.1639   1        1        1        1      
Streptomyces sp. NBC_00878                                         NZ_JAPEOK010000001.1  5077547   5090066   6.1648   1        1        1        1      
Streptomyces sp. V4I2                                              NZ_JAUSZM010000003.1  6083097   6095191   6.1627   1        1        1        1      
Streptomyces sp. V4I2                                              NZ_JAUSZM010000003.1  9572753   9576452   6.1486   1        1        1        1      
Streptomyces sp. NPDC001833                                        NZ_JBEOYT010000120.1  12708     19263     6.1687   1        1        1        1      
Streptomyces sp. NPDC001833                                        NZ_JBEOYT010000162.1  4642      8600      6.1430   1        1        1        1      
Streptomyces sp. LUP30                                             NZ_MJAJ01000007.1     18375     38486     6.1627   1        1        1        1      
Streptomyces sp. LUP30                                             NZ_MJAJ01000057.1     18252     22039     6.1476   1        1        1        1      
Streptomyces sp. NPDC048191                                        NZ_JBEZMO010000023.1  19551     24806     7.1635   1        1        1        1      
Streptomyces sp. IBSBF 2806                                        NZ_JAJSYX010000081.1  18493     22284     6.1471   1        1        1        1      
Streptomyces sp. IBSBF 2806                                        NZ_JAJSYX010000384.1  1141      3916      5.1254   0        1        1        1      
Streptomyces sp. NPDC059785                                        NZ_JBHWHV010000047.1  44334     58417     6.1599   1        1        1        1      
Streptomyces sp. NPDC047072                                        NZ_JBEYVC010000044.1  1527      15452     6.1637   1        1        1        1      
Streptomyces sp. NPDC093085                                        NZ_JBFBFB010000007.1  198651    206421    7.1587   1        1        1        1      
Streptomyces sp. NPDC101152                                        NZ_JBIWPO010000007.1  96944     114650    6.1643   1        1        1        1      
Streptomyces sp. NPDC101152                                        NZ_JBIWPO010000026.1  120557    124302    6.1436   1        1        1        1      
Streptomyces sp. ISL-11                                            NZ_JAGGOL010000036.1  8984      26641     6.1653   1        1        1        1      
Streptomyces sp. ISL-11                                            NZ_JAGGOL010000128.1  624       3888      5.1126   0        1        1        1      
Streptomyces sp. SP17KL33                                          NZ_JAQYXK010000388.1  8305      13034     6.1659   1        1        1        1      
Streptomyces sp. LaPpAH-108                                        NZ_KB891995.1         273770    277687    7.1595   1        1        1        1      
Streptomyces sp. NPDC091212                                        NZ_JBFBGB010000002.1  123239    131968    6.1660   1        1        1        1      
Streptomyces sp. CBMA123                                           NZ_MECK01000608.1     10080     12992     5.1272   0        1        1        1      
Streptomyces sp. NPDC001407                                        NZ_JBIAWF010000048.1  7646      19469     6.1665   1        1        1        1      
Streptomyces sp. NPDC001407                                        NZ_JBIAWF010000008.1  233646    247301    7.1598   1        1        1        1      
Streptomyces sp. NPDC020667                                        NZ_JBFAED010000245.1  3034      5809      5.1292   0        1        1        1      
Streptomyces sp. NPDC048595                                        NZ_JBICWA010000020.1  27694     39983     6.1604   1        1        1        1      
Streptomyces sp. ISL-10                                            NZ_JAGGOJ010000022.1  650       5998      6.1607   1        1        1        1      
Streptomyces sp. SCL15-4                                           NZ_JAOBTQ010000001.1  8029163   8033880   6.1641   1        1        1        1      
Streptomyces sp. SCL15-4                                           NZ_JAOBTQ010000001.1  3955557   3959311   6.1450   1        1        1        1      
Streptomyces sp. NPDC017638                                        NZ_JBIRJD010000024.1  141575    146292    6.1643   1        1        1        1      
Streptomyces sp. NPDC017638                                        NZ_JBIRJD010000031.1  94680     98434     6.1450   1        1        1        1      
Streptomyces sp. NPDC048266                                        NZ_JBEZLX010000020.1  8902      11711     5.1291   0        1        1        1      
Streptomyces sp. NPDC007355                                        NZ_JBIAFC010000005.1  18542     37811     6.1663   1        1        1        1      
Streptomyces sp. NRRL S-448                                        NZ_JBAISJ010000001.1  468466    476977    5.1568   1        1        1        1      
Streptomyces sp. NPDC007856                                        NZ_JBIAEC010000011.1  319022    328026    6.1685   1        1        1        1      
Streptomyces sp. C36                                               NZ_JBFQGI010000011.1  4175      8956      6.1663   1        1        1        1      
Streptomyces sp. C36                                               NZ_JBFQGI010000003.1  600304    603962    6.1487   1        1        1        1      
Streptomyces sp. NPDC051173                                        NZ_JBFBBD010000067.1  4700      16453     6.1659   1        1        1        1      
Streptomyces sp. NPDC051173                                        NZ_JBFBBD010000047.1  15661     23432     7.1571   1        1        1        1      
Streptomyces sp. NPDC051162                                        NZ_JBFBBF010000095.1  20302     23070     5.1204   0        1        1        1      
Streptomyces sp. NPDC012693                                        NZ_JBIBDD010000002.1  319867    339130    6.1660   1        1        1        1      
Streptomyces sp. NPDC005483                                        NZ_JBEXEA010000011.1  151291    165184    6.1627   1        1        1        1      
Streptomyces sp. NPDC020379                                        NZ_JBIRVR010000015.1  4476      16282     6.1662   1        1        1        1      
Streptomyces sp. NPDC020379                                        NZ_JBIRVR010000004.1  201881    205671    7.1550   1        1        1        1      
Streptomyces sp. NPDC048419                                        NZ_JBICXT010000018.1  48570     56026     6.1618   1        1        1        1      
Streptomyces sp. RB17                                              NZ_WEGL01000005.1     373100    382081    6.1672   1        1        1        1      
Streptomyces sp. NPDC057101                                        NZ_JBHUTZ010000083.1  4949      7758      5.1289   0        1        1        1      
Streptomyces sp. NPDC058989                                        NZ_JBHYJU010000104.1  13624     16509     5.1241   0        1        1        1      
Streptomyces sp. WELS2                                             NZ_JACBWZ010000395.1  1430      5189      6.1469   1        1        1        1      
Streptomyces sp. NRRL S-1022                                       NZ_JOIU01000009.1     188048    205660    6.1570   1        1        1        1      
Streptomyces sp. NRRL S-1022                                       NZ_JOIU01000005.1     134261    156566    6.1057   0        1        1        2      
Streptomyces sp. NPDC088810                                        NZ_JBIVJQ010000009.1  185453    203431    6.1557   1        1        1        1      
Streptomyces sp. SPB074                                            NZ_GG770539.1         5098204   5102453   4.0881   1        0        1        1      
Streptomyces sp. NBC_01077                                         NZ_CP108669.1         7348442   7370779   6.1604   1        1        1        1      
Streptomyces sp. NPDC002825                                        NZ_JBEOVH010000007.1  111669    131763    6.1653   1        1        1        1      
Streptomyces sp. NPDC002825                                        NZ_JBEOVH010000051.1  713       4454      6.1451   1        1        1        1      
Streptomyces sp. NPDC029526                                        NZ_JBEZWE010000028.1  19162     24503     6.1584   1        1        1        1      
Streptomyces sp. NPDC029526                                        NZ_JBEZWE010000005.1  224981    229817    7.1369   1        1        1        1      
Streptomyces sp. NPDC001532                                        NZ_JBEPAL010000002.1  365759    369518    6.1654   1        1        1        1      
Streptomyces sp. NPDC001532                                        NZ_JBEPAL010000014.1  146736    150344    6.1454   1        1        1        1      
Streptomyces sp. NRRL B-3648                                       NZ_LGDZ01000074.1     184014    201615    6.1572   1        1        1        1      
Streptomyces sp. NRRL B-3648                                       NZ_LGDZ01000254.1     212193    234478    6.1057   0        1        1        2      
Streptomyces sp. NBC_01023                                         NZ_CP108671.1         4622407   4628167   6.1607   1        1        1        1      
Streptomyces sp. NBC_00094                                         NZ_JAPEMB010000001.1  6397245   6419636   6.1595   1        1        1        1      
Streptomyces sp. NPDC006482                                        NZ_JBEXPI010000048.1  15934     20643     5.1534   1        1        1        0      
Streptomyces sp. Root1304                                          NZ_LMEP01000005.1     291842    294683    5.1066   0        1        1        1      
Streptomyces sp. NPDC059008                                        NZ_JBHYJC010000066.1  4420      16646     6.1607   1        1        1        1      
Streptomyces sp. COG19                                             NZ_JAHHEF010000002.1  395400    415688    6.1588   1        1        1        1      
Streptomyces sp. COG19                                             NZ_JAHHEF010000012.1  1668762   1672587   6.1402   1        1        1        1      
Streptomyces sp. CYG20                                             NZ_JAHHEI010000025.1  303007    306833    4.1328   1        1        1        0      
Streptomyces sp. OUCMDZ-4982                                       NZ_JANRMN010000024.1  12467     32761     6.1589   1        1        1        1      
Streptomyces sp. OUCMDZ-4982                                       NZ_JANRMN010000006.1  110969    114794    6.1401   1        1        1        1      
Streptomyces sp. NPDC005890                                        NZ_JBEXWF010000085.1  9096      11886     5.1194   0        1        1        1      
Streptomyces sp. NPDC012825                                        NZ_JBIBBZ010000023.1  15660     20254     5.1504   1        1        1        0      
Streptomyces sp. NPDC059639                                        NZ_JBHWDM010000113.1  14375     18192     7.1609   1        1        1        1      
Streptomyces sp. LN549                                             NZ_JAZHRI010000002.1  6224033   6229789   6.1613   1        1        1        1      
Streptomyces sp. LN549                                             NZ_JAZHRI010000002.1  6955319   6959016   6.1471   1        1        1        1      
Streptomyces sp. NPDC087901                                        NZ_JBIUUC010000006.1  19723     25481     6.1612   1        1        1        1      
Streptomyces sp. NBC_01180                                         NZ_CP108591.1         3539864   3545618   6.1595   1        1        1        1      
Streptomyces sp. NPDC093591                                        NZ_JBIWIY010000009.1  303788    325015    5.1582   1        1        1        1      
Streptomyces sp. NPDC002809                                        NZ_JBEOVJ010000008.1  19663     25420     6.1614   1        1        1        1      
Streptomyces sp. NPDC002809                                        NZ_JBEOVJ010000055.1  11092     14767     6.1480   1        1        1        1      
Streptomyces sp. NPDC018693                                        NZ_JBIRZZ010000002.1  780293    797838    6.1539   1        1        1        1      
Streptomyces sp. DvalAA-14                                         NZ_FMCH01000210.1     3306      15372     6.1626   1        1        1        1      
Streptomyces sp. DvalAA-14                                         NZ_FMCH01000068.1     10093     13715     6.1464   1        1        1        1      
Streptomyces sp. NPDC048659                                        NZ_JBEZHM010000046.1  52835     55646     5.1068   0        1        1        1      
Streptomyces sp. NPDC000134                                        NZ_JBIAZN010000009.1  111961    132348    5.1585   1        1        1        1      
Streptomyces sp. NPDC000134                                        NZ_JBIAZN010000007.1  168374    171977    6.1452   1        1        1        1      
Streptomyces sp. PTY087I2                                          NZ_LZRD01000009.1     144313    148190    7.1625   1        1        1        1      
Streptomyces sp. NPDC016459                                        NZ_JBEYCR010000006.1  56791     59601     5.1070   0        1        1        1      
Streptomyces sp. NPDC016459                                        NZ_JBEYCR010000001.1  657943    661630    6.1468   1        1        1        1      
Streptomyces sp. NPDC020141                                        NZ_JBIRXJ010000007.1  147543    167227    6.1579   1        1        1        1      
Streptomyces sp. NPDC088757                                        NZ_JBIVKV010000022.1  29310     37728     5.1517   1        1        1        1      
Streptomyces sp. QH1-20                                            NZ_CP166299.1         1309760   1327435   7.1698   1        1        1        1      
Streptomyces sp. 3213.3                                            NZ_FNTK01000001.1     5348693   5362455   6.1596   1        1        1        1      
Streptomyces sp. NPDC014636                                        NZ_JBIBZQ010000009.1  264379    268315    7.1618   1        1        1        1      
Streptomyces sp. NPDC053076                                        NZ_JBITZL010000007.1  308924    312861    7.1618   1        1        1        1      
Streptomyces sp. NPDC094032                                        NZ_JBEOUE010000048.1  15815     18622     5.1089   0        1        1        1      
Streptomyces sp. UNOC14_S4                                         NZ_JAINFC010000038.1  16072     19092     5.1255   0        1        1        1      
Streptomyces sp. NPDC007904                                        NZ_JBIBKT010000011.1  188052    196472    5.1521   1        1        1        1      
Streptomyces sp. NPDC005951                                        NZ_JBEXVJ010000088.1  16841     19594     5.1220   0        1        1        1      
Streptomyces sp. KLMMK                                             NZ_JBAMDC010000268.1  0         5229      5.1427   1        1        1        0      
Streptomyces sp. KLMMK                                             NZ_JBAMDC010000037.1  6059      9653      6.1415   1        1        1        1      
Streptomyces sp. NPDC003035                                        NZ_JBIAPJ010000002.1  288009    290806    5.1077   0        1        1        1      
Streptomyces sp. NPDC008001                                        NZ_JBIBIZ010000002.1  240569    246588    7.1659   1        1        1        1      
Streptomyces sp. LBL                                               NZ_JARXYX010000004.1  238675    242593    7.1604   1        1        1        1      
Streptomyces sp. NPDC019990                                        NZ_JBEYAJ010000017.1  111402    119821    5.1521   1        1        1        1      
Streptomyces sp. NPDC058671                                        NZ_JBHXSA010000004.1  26722     29527     5.1069   0        1        1        1      
Streptomyces sp. NPDC058671                                        NZ_JBHXSA010000006.1  253398    257080    6.1461   1        1        1        1      
Streptomyces sp. NPDC057409                                        NZ_JBHVCC010000121.1  5306      13440     4.0856   1        0        1        1      
Streptomyces sp. NPDC051896                                        NZ_JBFAYD010000002.1  146698    151953    7.1625   1        1        1        1      
Streptomyces sp. NPDC087212                                        NZ_JBIUZE010000001.1  1199518   1205076   6.1387   1        1        1        1      
Streptomyces sp. NPDC087212                                        NZ_JBIUZE010000001.1  1341206   1344011   5.1060   0        1        1        1      
Streptomyces sp. NPDC094437                                        NZ_JBIWGX010000001.1  879346    884904    6.1388   1        1        1        1      
Streptomyces sp. NPDC006516                                        NZ_JBEXPD010000017.1  65350     68167     5.1054   0        1        1        1      
Streptomyces sp. NPDC006516                                        NZ_JBEXPD010000003.1  478508    482108    6.1417   1        1        1        1      
Streptomyces sp. NPDC006172                                        NZ_JBEXTL010000025.1  65010     73408     5.1520   1        1        1        1      
