representative	cluster_size
CP030479.1	1
DADJGJ010000002.1	7
DADJNK010000056.1	3
DADOUA010000015.1	29
DADOYG010000001.1	196
DAKVDL010000042.1	1
DAKZQW010000044.1	2
DAKZSO010000046.1	8
DALTCA010000006.1	1
DAMLLI010000004.1	1
DAMLND010000008.1	6
DAOKOD010000004.1	1
DAXRFU010000008.1	1
DAXRIK010000017.1	1
DBAHYL010000008.1	1
JAJJDM010000006.1	373
JANEAU010000013.1	1
JAWEKW010000087.1	1
JAWHHQ010000094.1	1
JBETMS010000007.1	7
NZ_CAYAGZ010000001.1	8
NZ_CP020761.1	14
NZ_CP038807.1	38
NZ_CP041724.1	9
NZ_CP041726.1	1
NZ_CP042008.1	1
NZ_CP155636.1	12
NZ_FMNF01000005.1	13
NZ_FQMG01000001.1	61
NZ_GL622352.1	1
NZ_JAASOT010000010.1	1
NZ_JAHAVF010000003.1	20
NZ_JALCXD010000003.1	1
NZ_JALCXE010000017.1	26
NZ_JAMKQG010000003.1	1
NZ_JAMWTB010000001.1	9
NZ_JASUAR010000262.1	1
NZ_JAVRXV010000004.1	172
NZ_JBBLTR010000004.1	7
NZ_JBCGEO010000002.1	2
NZ_JIBS01000001.1	1
NZ_KV795710.1	11
NZ_KV807464.1	1
NZ_KV812761.1	1
NZ_KV828746.1	6
NZ_KV830918.1	4
NZ_KV840185.1	2
NZ_KV840608.1	1
NZ_MAQR01000124.1	2
NZ_PPQS01000039.1	4
NZ_VRQE01000143.1	1
