scaffold	representative	dereplication_status
CSTN01000043.1	GCA_001213105.1	dereplication_representative
CSTQ01000052.1	GCA_001213265.1	dereplication_representative
RCPF01000001.1	GCA_003642525.1	dereplication_representative
AAAKDP010000003.1	GCA_003642525.1	readded_by_cluster_content
RELK01000001.1	GCA_003642525.1	readded_by_cluster_content
DAEUZS010000032.1	GCA_003642525.1	readded_by_cluster_content
ABTALL010000007.1	GCA_003642525.1	readded_by_cluster_content
AAAPIF010000059.1	GCA_003642525.1	readded_by_cluster_content
AAXHQW010000054.1	GCA_003642525.1	readded_by_cluster_content
DASCFS010000040.1	GCA_003642525.1	readded_by_cluster_content
DAAESN010000061.1	GCA_003642525.1	readded_by_cluster_content
AAAUCQ010000064.1	GCA_003642525.1	readded_by_cluster_content
ABDQRO010000001.1	GCA_003642525.1	readded_by_cluster_content
AAAMMK010000067.1	GCA_003642525.1	readded_by_cluster_content
AANCMY010000007.1	GCA_003642525.1	readded_by_cluster_content
AAPEUL010000040.1	GCA_003642525.1	readded_by_cluster_content
AANEEP010000047.1	GCA_003642525.1	readded_by_cluster_content
AAANEN010000003.1	GCA_003642525.1	readded_by_cluster_content
DAAKWY010000001.1	GCA_003642525.1	readded_by_cluster_content
AABDIF010000068.1	GCA_003642525.1	readded_by_cluster_content
DABQGU010000032.1	GCA_003642525.1	readded_by_cluster_content
CYVO01000002.1	GCA_003642525.1	readded_by_cluster_content
AABAKE010000088.1	GCA_003642525.1	readded_by_cluster_content
AAXMLI010000030.1	GCA_003642525.1	readded_by_cluster_content
AAAJQA010000021.1	GCA_003642525.1	readded_by_cluster_content
AAEACC010000057.1	GCA_003642525.1	redundant
AAAKEC010000016.1	GCA_003642525.1	redundant
AAAJLJ010000001.1	GCA_003642525.1	redundant
ABEOLO010000002.1	GCA_003642525.1	redundant
DAACPH010000026.1	GCA_003642525.1	redundant
ABCJWL010000001.1	GCA_003642525.1	redundant
AAQRXF010000003.1	GCA_003642525.1	redundant
DASCZZ010000001.1	GCA_003642525.1	redundant
AAAWAT010000009.1	GCA_003642525.1	redundant
AAAZSP010000004.1	GCA_003642525.1	redundant
DASCIR010000001.1	GCA_003642525.1	redundant
ABDRUF010000015.1	GCA_003642525.1	redundant
ABCIXD010000031.1	GCA_003642525.1	redundant
ABDDXI010000001.1	GCA_003642525.1	redundant
