representative	size
GCA_015541625.1	60
GCA_026553075.1	2
GCA_026814705.1	24
GCA_027205245.1	298
GCA_027288085.1	5
GCA_027476635.1	1
GCA_027978025.1	8
GCA_030889165.1	1
GCA_031999865.1	1
GCA_032163345.1	5
GCA_032475195.1	23
GCA_032512225.1	1
GCA_032564175.1	50
GCA_033780795.1	1
GCF_000751255.1	4
GCF_000972575.1	3
GCF_001639785.1	65
GCF_003039935.1	2
GCF_009648335.1	47
GCF_017892645.1	1
GCF_020882195.1	40
GCF_022689365.1	31
GCF_022834285.1	14
GCF_023657275.1	42
GCF_024741435.1	2
GCF_024741495.1	1
GCF_024741615.1	1
GCF_024741715.1	1
GCF_024916345.1	1
GCF_024916995.1	24
GCF_029951485.1	355
GCF_030234055.1	1
GCF_900457805.1	1
