Organism                                                           Scaffold              Start     End       Score    SCO5086  SCO5087  SCO5088  SCO5089
Streptomyces anthocyanicus JCM 3037                                NZ_BMPR01000007.1     18518     22293     7.2426   1        1        1        1      
Streptomyces anthocyanicus JCM 3037                                BMPR01000007.1        18518     22293     4.1487   1        0        1        1      
Streptomyces anthocyanicus NBC_00116                               NZ_CP108200.1         5404714   5408489   7.2426   1        1        1        1      
Streptomyces anthocyanicus NBC_00116                               CP108200.1            5404714   5408489   4.1487   1        0        1        1      
Streptomyces anthocyanicus NBC 01687                               NZ_CP109205.1         3104098   3107873   7.2426   1        1        1        1      
Streptomyces anthocyanicus NBC 01687                               CP109205.1            3104098   3107873   4.1487   1        0        1        1      
Streptomyces anthocyanicus NBC 01636                               NZ_CP109275.1         3212431   3216206   7.2423   1        1        1        1      
Streptomyces anthocyanicus NBC 01636                               CP109275.1            3212431   3216206   4.1484   1        0        1        1      
Streptomyces anthocyanicus NPDC000080                              NZ_JBEPFK010000234.1  5623      9398      7.2426   1        1        1        1      
Streptomyces anthocyanicus NPDC020086                              NZ_JBEXZZ010000026.1  56038     59813     7.2426   1        1        1        1      
Streptomyces anthocyanicus NPDC020081                              NZ_JBEYAA010000043.1  55925     59700     7.2426   1        1        1        1      
Streptomyces anthocyanicus NPDC006946                              NZ_JBEYIB010000026.1  114       3889      7.2424   1        1        1        1      
Streptomyces anthocyanicus NPDC048681                              NZ_JBEZHC010000055.1  81        3856      7.2424   1        1        1        1      
Streptomyces anthocyanicus NPDC048675                              NZ_JBEZHF010000061.1  15134     18909     7.2426   1        1        1        1      
Streptomyces anthocyanicus NPDC052222                              NZ_JBFAVF010000052.1  30927     34702     7.2426   1        1        1        1      
Streptomyces anthocyanicus NPDC057076                              NZ_JBHUTJ010000226.1  40        3815      7.2426   1        1        1        1      
Streptomyces anthocyanicus NPDC057113                              NZ_JBHUUJ010000060.1  55        3830      7.2426   1        1        1        1      
Streptomyces anthocyanicus NPDC057145                              NZ_JBHUVC010000060.1  52        3827      7.2426   1        1        1        1      
Streptomyces anthocyanicus NPDC057436                              NZ_JBHVDB010000076.1  23750     27525     7.2426   1        1        1        1      
Streptomyces anthocyanicus NPDC060051                              NZ_JBHWVX010000007.1  353941    357716    7.2426   1        1        1        1      
Streptomyces anthocyanicus NPDC060099                              NZ_JBHWXH010000096.1  50        3825      7.2426   1        1        1        1      
Streptomyces anthocyanicus NPDC060100                              NZ_JBHWXI010000094.1  53        3828      7.2426   1        1        1        1      
Streptomyces anthocyanicus NPDC060102                              NZ_JBHWXJ010000070.1  48        3823      7.2426   1        1        1        1      
Streptomyces anthocyanicus NPDC060103                              NZ_JBHWXK010000070.1  55        3830      7.2426   1        1        1        1      
Streptomyces anthocyanicus NPDC060105                              NZ_JBHWXL010000072.1  85        3860      7.2426   1        1        1        1      
Streptomyces anthocyanicus NPDC060106                              NZ_JBHWXM010000005.1  169599    173374    7.2426   1        1        1        1      
Streptomyces anthocyanicus NPDC058696                              NZ_JBHXST010000007.1  55        3830      7.2422   1        1        1        1      
Streptomyces anthocyanicus NPDC006945                              NZ_JBIAFY010000002.1  57961     61736     7.2424   1        1        1        1      
Streptomyces anthocyanicus NPDC006591                              NZ_JBIAHH010000015.1  173136    176911    7.2423   1        1        1        1      
Streptomyces anthocyanicus NPDC000667                              NZ_JBIAYQ010000005.1  367775    371550    7.2426   1        1        1        1      
Streptomyces anthocyanicus NPDC050019                              NZ_JBITKF010000005.1  353698    357473    7.2426   1        1        1        1      
Streptomyces anthocyanicus NPDC088223                              NZ_JBIUSB010000012.1  56173     59948     7.2426   1        1        1        1      
Streptomyces anthocyanicus NPDC096390                              NZ_JBIWFA010000004.1  15442     19217     7.2426   1        1        1        1      
Streptomyces anthocyanicus NPDC003196                              NZ_JBEXNH010000044.1  55896     59671     7.2425   1        1        1        1      
Streptomyces anthocyanicus NPDC005018                              NZ_JBEXIZ010000045.1  100       3875      4.1621   1        1        0        1      
Streptomyces anthocyanicus JCM 4739                                NZ_BMVQ01000009.1     366427    370202    7.2422   1        1        1        1      
Streptomyces anthocyanicus JCM 4739                                BMVQ01000009.1        366427    370202    4.1485   1        0        1        1      
Streptomyces anthocyanicus NBC 01777                               NZ_CP109102.1         2895822   2899597   7.2422   1        1        1        1      
Streptomyces anthocyanicus NBC 01777                               CP109102.1            2895822   2899597   4.1485   1        0        1        1      
Streptomyces anthocyanicus NBC 01662                               NZ_CP109242.1         3206900   3210675   7.2421   1        1        1        1      
Streptomyces anthocyanicus NBC 01662                               CP109242.1            3206900   3210675   4.1482   1        0        1        1      
Streptomyces anthocyanicus IPS92w                                  NZ_JAPFQR010000015.1  18546     22321     7.2422   1        1        1        1      
Streptomyces anthocyanicus IPS92w                                  JAPFQR010000015.1     18546     22321     4.1485   1        0        1        1      
Streptomyces anthocyanicus JCM 5058                                NZ_BMWI01000036.1     53        3828      7.2423   1        1        1        1      
Streptomyces anthocyanicus JCM 5058                                BMWI01000036.1        53        3828      4.1484   1        0        1        1      
Streptomyces anthocyanicus NBC_01372                               NZ_CP109571.1         2842757   2846532   7.2423   1        1        1        1      
Streptomyces anthocyanicus NBC_01372                               CP109571.1            2842757   2846532   4.1484   1        0        1        1      
Streptomyces anthocyanicus NPDC127065                              NZ_JBHXEK010000052.1  30955     34730     7.2423   1        1        1        1      
Streptomyces anthocyanicus NPDC059397                              NZ_JBHYWQ010000041.1  30941     34716     7.2423   1        1        1        1      
Streptomyces anthocyanicus NPDC005207                              NZ_JBJDQS010000024.1  18540     22315     7.2418   1        1        1        1      
Streptomyces anthocyanicus NBC 01668                               CP109228.1            5565491   5569266   4.1484   1        0        1        1      
Streptomyces anthocyanicus NPDC012316                              NZ_JBIBFD010000009.1  363931    367706    7.2420   1        1        1        1      
Streptomyces anthocyanicus NPDC012293                              NZ_JBIBFF010000019.1  31045     34820     7.2420   1        1        1        1      
Streptomyces anthocyanicus NPDC086515                              NZ_JBIVBU010000001.1  700395    704170    7.2421   1        1        1        1      
Streptomyces lividans 1326                                         NZ_CM001889.1         5571539   5575314   7.2423   1        1        1        1      
Streptomyces lividans TK24                                         NZ_CP009124.1         2963438   2967213   7.2423   1        1        1        1      
Streptomyces lividans TK24                                         CP009124.1            2963438   2967213   4.1484   1        0        1        1      
Streptomyces lividans TK23                                         AP025539.1            5350479   5354254   4.1484   1        0        1        1      
Streptomyces lividans TK24 DG2-P41                                 CP071123.1            2970398   2974173   4.1484   1        0        1        1      
Streptomyces lividans TK24-YQS040                                  CP071800.1            2969090   2972865   4.1484   1        0        1        1      
