Organism                                                      Scaffold              Start    End      Score  LLS_Dehydrogenase  LLS_E1-like  LLS_LlsA  LLS_YcaO
Listeria monocytogenes PNUSAL003275                           RCPF01000001.1        19644    24956    5.22   1                  1            1         1       
Listeria monocytogenes clinical isolate of L. monocytogenes   DASDLM010000013.1     3844     9157     3.16   1                  0            1         1       
Listeria monocytogenes CFSAN051112                            AAAUAI010000028.1     63       4069     4.13   1                  1            1         0       
Listeria monocytogenes PNUSAL012053                           ABDQRO010000001.1     593200   598545   4.16   0                  1            1         1       
Listeria monocytogenes 875539                                 AANDLJ010000029.1     409      3516     4.21   1                  1            0         1       
Listeria monocytogenes PNUSAL004110                           RENG01000005.1        3180     8493     5.21   1                  1            1         1       
Listeria monocytogenes PNUSAL004108                           REPD01000041.1        127      5439     5.22   1                  1            1         1       
Listeria monocytogenes CFSAN060136                            RSNC01000003.1        301031   306343   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL019004                           ABMRVO010000009.1     124042   129230   4.16   0                  1            1         1       
Listeria monocytogenes CFSAN008055                            AAAQLO010000004.1     311802   315808   4.13   1                  1            1         0       
Listeria monocytogenes 337                                    DABXYZ010000025.1     0        2914     4.20   1                  1            0         1       
Listeria monocytogenes 282341                                 AABERP010000021.1     311      5352     6.22   1                  1            1         1       
Listeria monocytogenes CFSAN060957                            AAAAGF010000001.1     587587   592899   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL005410                           AANCSV010000026.1     91       5404     3.16   1                  0            1         1       
Listeria monocytogenes CFSAN056274                            ABDRHJ010000022.1     170      3277     4.21   1                  1            0         1       
Listeria monocytogenes PNUSAL010130                           ABAKZP010000001.1     585411   590722   4.16   0                  1            1         1       
Listeria monocytogenes PNUSAL003826                           AABCFU010000001.1     0        3894     4.12   1                  1            1         0       
Listeria monocytogenes PNUSAL001427                           AAAHTE010000001.1     605301   610613   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL001338                           AAAHSN010000001.1     603388   608699   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN030471                            AAAHSP010000001.1     681625   686937   5.22   1                  1            1         1       
Listeria monocytogenes AG19-0226                              AAEXPE010000106.1     45       4051     4.13   1                  1            1         0       
Listeria monocytogenes FSIS22029580                           AAXDEA010000039.1     434      3541     4.21   1                  1            0         1       
Listeria monocytogenes BCW_2403                               NZ_MJUB01000017.1     156433   161728   3.16   1                  0            1         1       
Listeria monocytogenes CFSAN060106                            AAAIVD010000016.1     68266    73578    5.22   1                  1            1         1       
Listeria monocytogenes SENASICA_Li_Q33                        AABGOP010000107.1     0        2969     4.20   1                  1            0         1       
Listeria monocytogenes clinical isolate of L. monocytogenes   DASCFO010000057.1     25       4031     4.13   1                  1            1         0       
