representative	cluster_size
GCF_000016505.1	1
GCF_000018325.1	1
GCF_000019065.1	1
GCF_000020005.1	1
GCF_000022065.1	1
GCF_000025645.1	1
GCF_000143685.1	1
GCF_000145275.1	1
GCF_000169255.2	1
GCF_000179595.2	1
GCF_000185385.1	1
GCF_000189775.2	1
GCF_000204565.1	1
GCF_000213255.1	1
GCF_000237085.1	1
GCF_000242235.1	1
GCF_000244875.1	1
GCF_000247605.1	1
GCF_000300195.1	1
GCF_000307585.2	1
GCF_000364165.2	1
GCF_000383295.1	1
GCF_000389635.1	1
GCF_000421965.1	1
GCF_000430995.1	1
GCF_000526495.1	1
GCF_000577895.1	1
GCF_000619945.1	1
GCF_000621485.1	1
GCF_000621505.1	1
GCF_000686705.1	1
GCF_000686725.1	1
GCF_000699585.2	1
GCF_000703125.1	1
GCF_000709435.1	1
GCF_000724385.2	1
GCF_000732635.1	1
GCF_000744935.1	1
GCF_000806225.2	1
GCF_000968375.1	1
GCF_000981035.1	1
GCF_001038625.1	1
GCF_001042715.1	1
GCF_001047375.1	1
GCF_001262605.1	1
GCF_001263795.1	1
GCF_001282685.1	1
GCF_001282725.1	1
GCF_001299475.1	1
GCF_001311925.1	1
GCF_001317355.1	1
GCF_001403635.1	1
GCF_001440545.1	1
GCF_001559865.1	1
GCF_001562415.1	1
GCF_001593985.1	1
GCF_001594005.1	1
GCF_001623875.1	1
GCF_001636845.1	1
GCF_001655775.1	1
GCF_001697285.1	1
GCF_001748365.1	1
GCF_001750685.1	1
GCF_001758365.1	1
GCF_001854185.1	1
GCF_001886775.1	1
GCF_001889365.1	1
GCF_001940245.1	1
GCF_001940315.1	1
GCF_002006235.2	1
GCF_002029235.1	1
GCF_002051585.1	1
GCF_002074155.1	1
GCF_002159175.1	1
GCF_002159465.1	1
GCF_002161055.1	1
GCF_002161065.1	1
GCF_002161085.1	1
GCF_002161175.1	1
GCF_002161215.1	1
GCF_002216005.1	1
GCF_002250075.1	1
GCF_002250835.2	1
GCF_002252565.1	1
GCF_002270055.1	1
GCF_002355795.1	1
GCF_002441855.2	1
GCF_002724055.1	1
GCF_002735925.1	1
GCF_002796935.1	1
GCF_002874775.1	1
GCF_002896855.1	1
GCF_002899675.1	1
GCF_002934545.1	1
GCF_002964605.1	1
GCF_002969215.1	1
GCF_003024715.1	1
GCF_003096175.1	1
