representative	cluster_size
NC_009706.1:3193323-3210324	1
NC_009922.1:1814042-1829364	1
NC_010320.1:1484001-1501313	1
NC_010424.1:1412436-1439038	1
NC_010718.1:1847974-1863849	1
NC_011898.1:611871-629663	1
NC_013921.1:1057801-1075115	1
NC_014393.1:2473182-2490341	1
NC_015520.1:953050-968860	1
NC_015555.1:1473768-1494465	1
NC_016627.1:2433094-2447626	1
NC_016894.1:1513939-1528141	1
NC_017992.1:1749452-1766295	3
NC_021182.1:2338623-2355770	1
NZ_AAXG02000012.1:153845-173475	1
NZ_AMQH01000006.1:369099-386023	1
NZ_AP023367.1:1226730-1244141	1
NZ_AP024169.1:1424390-1441782	1
NZ_AP027090.1:2739870-2756367	2
NZ_AP028654.1:1675102-1692185	1
NZ_AP031438.1:1466174-1481774	1
NZ_AP031606.1:2262635-2279793	1
NZ_ATAY01000011.1:1298-19002	3
NZ_BAAACF010000012.1:198400-215257	1
NZ_BAAACP010000006.1:135604-151307	1
NZ_BAABYN010000001.1:2985959-3002730	1
NZ_BAABZE010000001.1:5318325-5333070	2
NZ_BAABZG010000001.1:2205185-2226081	1
NZ_BBCG01000019.1:12620-26498	1
NZ_BDHH01000005.1:1-13565	1
NZ_BDQY01000002.1:52404-70369	1
NZ_BMBA01000001.1:1199040-1215812	3
NZ_BOPZ01000008.1:39701-56714	1
NZ_BQNK01000001.1:1166699-1181472	1
NZ_BQXZ01000002.1:832867-849644	1
NZ_BROD01000001.1:1370321-1387172	1
NZ_BRPJ01000046.1:16987-31755	1
NZ_CABFVD010000001.1:109358-126386	1
NZ_CABKRL010000001.1:757143-774229	2
NZ_CABKTN010000007.1:921951-938826	1
NZ_CABKWO010000005.1:1110119-1126623	1
NZ_CABLCB010000083.1:371971-388904	1
NZ_CABMKD010000012.1:1594551-1610064	1
NZ_CABMKL010000001.1:2235290-2249987	1
NZ_CABMKM010000004.1:592220-607040	1
NZ_CALPCP010000015.1:52561-69144	1
NZ_CALPCY010000007.1:88434-103187	1
NZ_CALSFS010000005.1:4922-22030	1
NZ_CANCWE010000007.1:103409-120488	1
NZ_CANOOQ010000001.1:848204-863025	1
NZ_CAXSLG010000003.1:89100-103820	1
NZ_CAXTPD010000001.1:151446-166134	1
NZ_CAXVJR010000007.1:12308-28009	1
NZ_CDAA01000001.1:3196790-3213239	3
NZ_CP008713.1:930677-949256	1
NZ_CP009687.1:1785987-1803651	1
NZ_CP009933.1:5269198-5286298	4
NZ_CP013242.1:1-11818	3
NZ_CP014176.1:1732288-1749391	1
NZ_CP014673.1:2431851-2445592	1
NZ_CP017269.1:5662732-5680251	1
NZ_CP017603.1:3126769-3144393	1
NZ_CP020991.1:2604584-2619848	1
NZ_CP021850.1:1703364-1723559	1
NZ_CP028491.1:2277911-2302684	1
NZ_CP030018.1:875844-893029	1
NZ_CP032416.1:958496-975397	1
NZ_CP032452.1:2753014-2768712	1
NZ_CP033465.1:2007669-2024681	1
NZ_CP035280.1:847020-863861	1
NZ_CP040093.1:611298-628137	1
NZ_CP040506.1:4439085-4453800	1
NZ_CP040924.1:1657211-1674073	1
NZ_CP042243.1:1374749-1392241	1
NZ_CP054394.1:1656750-1672083	1
NZ_CP058559.1:2759531-2788262	1
NZ_CP058561.1:4794268-4811533	1
NZ_CP058648.1:2750756-2770846	1
NZ_CP058649.1:3808729-3827702	1
NZ_CP059378.1:3016409-3033355	2
NZ_CP060096.1:1518723-1535520	1
NZ_CP060286.1:545054-559812	1
NZ_CP060696.1:1174204-1194289	1
NZ_CP060696.1:1386879-1401903	1
NZ_CP061336.1:2625868-2644200	1
NZ_CP063816.1:1302198-1319043	3
NZ_CP070235.1:2928123-2942987	1
NZ_CP076620.1:1528044-1544918	1
NZ_CP078093.1:2368195-2385631	1
NZ_CP085988.1:3380709-3395627	1
NZ_CP086237.1:4452510-4469406	9
NZ_CP096988.1:215312-232472	1
NZ_CP097810.1:1398400-1411973	1
NZ_CP102254.1:990138-1008100	2
NZ_CP112872.1:2467981-2485000	1
NZ_CP113903.1:3004706-3019189	1
NZ_CP120733.1:2704789-2722652	1
NZ_CP121687.1:1178831-1198135	1
NZ_CP124295.1:3105820-3121521	1
NZ_CP124862.1:5353736-5369164	1
NZ_CP125628.1:4165540-4180303	1
NZ_CP126462.1:1774990-1792472	1
NZ_CP127161.1:2338316-2355915	1
NZ_CP130060.1:1438506-1453395	1
NZ_CP130558.2:2947099-2963942	3
NZ_CP132338.1:906061-920054	1
NZ_CP133189.1:702968-717719	1
NZ_CP158367.1:846769-868553	1
NZ_CP159485.1:2055243-2077285	1
NZ_CP161000.1:2799035-2814730	1
NZ_CP163137.1:2228374-2242871	1
NZ_CP171113.1:884552-901584	1
NZ_CP172402.1:1936133-1952968	1
NZ_CP173187.2:2735151-2749353	1
NZ_CP174369.1:1549884-1564817	1
NZ_CP175761.1:1353982-1370749	1
NZ_CP176625.1:3461586-3475808	3
NZ_CP183811.1:272729-288428	3
NZ_CYUJ01000002.1:769043-783018	1
NZ_FKLA01000009.1:1855070-1869784	1
NZ_FMJL01000002.1:116865-133823	1
NZ_FMMP01000006.1:330960-344737	1
NZ_FNFP01000002.1:442265-459799	1
NZ_FNID01000019.1:17067-31967	1
NZ_FNQE01000022.1:19382-36911	1
NZ_FNUK01000016.1:33598-48176	1
NZ_FOCG01000001.1:779840-795374	1
NZ_FOHN01000015.1:47931-66692	1
NZ_FOHU01000001.1:425839-443363	1
NZ_FOKI01000002.1:136121-153284	1
NZ_FOQA01000001.1:53996-70961	1
NZ_FOYZ01000003.1:249876-266928	1
NZ_FQTU01000001.1:12798-29171	1
NZ_FQVH01000002.1:47369-64136	1
NZ_FQXM01000004.1:223634-240367	1
NZ_FQXP01000013.1:37091-54599	1
NZ_FQZB01000003.1:34027-50792	1
NZ_FQZO01000001.1:691581-708347	1
NZ_FQZV01000003.1:21074-38619	1
NZ_FRAD01000012.1:51835-68848	1
NZ_FRAG01000001.1:197027-207332	1
NZ_FRAI01000005.1:526714-549077	1
NZ_FRCP01000014.1:138100-162240	1
