db_id	query	scaff	strand	coords	db	crossref_id	crossref_method	name	taxon_name	taxon_id	evalue	score	seqid	qcov	tcov
WP_213237584.1	ctg16_37	NZ_JAHBCL010000024.1	+	43636..44658	local	WP_213237584.1	local	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	GCF_018390735.1	76009	1.745e-61	2515	100.0	100.0	100.0
WP_213237585.1	ctg16_38	NZ_JAHBCL010000024.1	+	44673..45803	local	WP_213237585.1	local	tRNA guanosine(34) transglycosylase Tgt	GCF_018390735.1	76009	2.916e-69	2827	100.0	100.0	100.0
WP_213237586.1	ctg16_39	NZ_JAHBCL010000024.1	+	45918..46253	local	WP_213237586.1	local	preprotein translocase subunit YajC	GCF_018390735.1	76009	3.992e-16	675	100.0	100.0	100.0
WP_213237588.1	ctg16_40	NZ_JAHBCL010000024.1	+	46631..48025	local	WP_213237588.1	local	thioether cross-link-forming SCIFF peptide maturase	GCF_018390735.1	76009	3.159e-72	3135	100.0	99.8	99.8
WP_213237589.1	ctg16_41	NZ_JAHBCL010000024.1	+	48041..48538	local	WP_213237589.1	local	gamma carbonic anhydrase family protein	GCF_018390735.1	76009	2.054e-24	1160	100.0	100.0	100.0
WP_246543106.1	ctg16_42	NZ_JAHBCL010000024.1	+	48561..49856	local	WP_246543106.1	local	protein translocase subunit SecD	GCF_018390735.1	76009	1.377e-56	2843	100.0	100.0	100.0
WP_246543107.1	ctg16_43	NZ_JAHBCL010000024.1	+	49862..50752	local	WP_246543107.1	local	protein translocase subunit SecF	GCF_018390735.1	76009	1.839e-40	1844	100.0	100.0	100.0
WP_204663293.1	ctg16_43	NZ_JAFBDT010000006.1	-	77753..78640	local	WP_204663293.1	local	protein translocase subunit SecF	GCF_016908355.1	1008308	7.902e-32	1470	65.0	99.7	99.7
WP_204663295.1	ctg16_42	NZ_JAFBDT010000006.1	-	78647..79942	local	WP_204663295.1	local	protein translocase subunit SecD	GCF_016908355.1	1008308	6.026e-47	2376	69.6	100.0	100.0
WP_204663297.1	ctg16_41	NZ_JAFBDT010000006.1	-	79964..80464	local	WP_204663297.1	local	gamma carbonic anhydrase family protein	GCF_016908355.1	1008308	5.982e-19	921	56.9	100.0	99.4
WP_204663299.1	ctg16_40	NZ_JAFBDT010000006.1	-	80480..81832	local	WP_204663299.1	local	thioether cross-link-forming SCIFF peptide maturase	GCF_016908355.1	1008308	3.982e-62	2709	74.4	97.0	100.0
WP_204663303.1	ctg16_39	NZ_JAFBDT010000006.1	-	82144..82443	local	WP_204663303.1	local	preprotein translocase subunit YajC	GCF_016908355.1	1008308	7.377e-12	517	65.9	82.0	91.9
WP_207754690.1	ctg16_38	NZ_JAFBDT010000006.1	-	82509..83633	local	WP_207754690.1	local	tRNA guanosine(34) transglycosylase Tgt	GCF_016908355.1	1008308	2.905e-64	2629	83.6	98.9	99.5
WP_204663305.1	ctg16_37	NZ_JAFBDT010000006.1	-	83651..84673	local	WP_204663305.1	local	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	GCF_016908355.1	1008308	1.704e-53	2199	71.3	99.4	99.4
WP_281092935.1	ctg16_43	NZ_JARYZI010000001.1	-	646386..647273	local	WP_281092935.1	local	protein translocase subunit SecF	GCF_029914245.1	1488331	4.566e-31	1437	63.5	100.0	100.0
WP_281092936.1	ctg16_42	NZ_JARYZI010000001.1	-	647279..648574	local	WP_281092936.1	local	protein translocase subunit SecD	GCF_029914245.1	1488331	3.181e-46	2341	68.6	100.0	100.0
WP_281092937.1	ctg16_41	NZ_JARYZI010000001.1	-	648587..649093	local	WP_281092937.1	local	gamma carbonic anhydrase family protein	GCF_029914245.1	1488331	1.626e-18	902	61.8	100.0	98.2
WP_281092938.1	ctg16_40	NZ_JARYZI010000001.1	-	649104..650462	local	WP_281092938.1	local	thioether cross-link-forming SCIFF peptide maturase	GCF_029914245.1	1488331	3.03e-62	2714	73.4	97.39999999999999	100.0
WP_281092940.1	ctg16_39	NZ_JARYZI010000001.1	-	650887..651195	local	WP_281092940.1	local	preprotein translocase subunit YajC	GCF_029914245.1	1488331	2.558e-11	497	62.7	91.9	100.0
WP_281092941.1	ctg16_38	NZ_JARYZI010000001.1	-	651276..652400	local	WP_281092941.1	local	tRNA guanosine(34) transglycosylase Tgt	GCF_029914245.1	1488331	1.825e-64	2637	85.9	100.0	100.0
WP_281092942.1	ctg16_37	NZ_JARYZI010000001.1	-	652430..653452	local	WP_281092942.1	local	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	GCF_029914245.1	1488331	1.134e-53	2206	72.1	99.4	99.4
WP_242866795.1	ctg16_37	NZ_LOHE01000068.1	+	83311..84342	local	WP_242866795.1	local	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	GCF_001559865.1	1766203	5.604e-52	2139	64.4	99.7	99.1
WP_066502742.1	ctg16_38	NZ_LOHE01000068.1	+	84406..85524	local	WP_066502742.1	local	tRNA guanosine(34) transglycosylase Tgt	GCF_001559865.1	1766203	3.369e-60	2468	72.5	98.7	99.7
WP_066502745.1	ctg16_40	NZ_LOHE01000068.1	+	87311..88660	local	WP_066502745.1	local	radical SAM/SPASM domain-containing protein	GCF_001559865.1	1766203	1.702e-19	911	18.7	98.5	98.7
WP_066502755.1	ctg16_40	NZ_LOHE01000068.1	+	90292..91653	local	WP_066502755.1	local	thioether cross-link-forming SCIFF peptide maturase	GCF_001559865.1	1766203	1.03e-52	2312	55.3	97.2	99.6
WP_066502757.1	ctg16_41	NZ_LOHE01000068.1	+	91658..92161	local	WP_066502757.1	local	gamma carbonic anhydrase family protein	GCF_001559865.1	1766203	7.103e-18	874	49.3	99.4	98.2
WP_066502764.1	ctg16_42	NZ_LOHE01000068.1	+	92213..93472	local	WP_066502764.1	local	protein translocase subunit SecD	GCF_001559865.1	1766203	1.063e-39	2025	51.1	99.1	99.5
WP_066502766.1	ctg16_43	NZ_LOHE01000068.1	+	93484..94359	local	WP_066502766.1	local	protein translocase subunit SecF	GCF_001559865.1	1766203	3.382e-29	1356	50.3	97.3	99.0
WP_068554821.1	ctg16_43	NZ_LOEE01000019.1	-	10128..11012	local	WP_068554821.1	local	protein translocase subunit SecF	GCF_001562415.1	520762	1.322e-30	1417	57.3	98.3	99.0
WP_068554823.1	ctg16_42	NZ_LOEE01000019.1	-	11028..12287	local	WP_068554823.1	local	protein translocase subunit SecD	GCF_001562415.1	520762	6.133e-41	2085	55.6	99.5	100.0
WP_068554824.1	ctg16_41	NZ_LOEE01000019.1	-	12303..12815	local	WP_068554824.1	local	gamma carbonic anhydrase family protein	GCF_001562415.1	520762	6.393e-18	876	54.8	99.4	96.5
WP_068554827.1	ctg16_40	NZ_LOEE01000019.1	-	12818..14176	local	WP_068554827.1	local	thioether cross-link-forming SCIFF peptide maturase	GCF_001562415.1	520762	1.515e-58	2558	64.3	97.2	99.8
WP_068554841.1	ctg16_39	NZ_LOEE01000019.1	-	24037..24321	local	WP_068554841.1	local	preprotein translocase subunit YajC	GCF_001562415.1	520762	9.424e-10	439	47.2	82.0	95.7
