Organism	Scaffold	Start	End	Score	ctg16_37	ctg16_38	ctg16_39	ctg16_40	ctg16_41	ctg16_42	ctg16_43
GCF_003254825.1	NZ_CP030018.1	880844	888029	9458.0000	1	1	0	1	0	1	1
GCF_008807835.1	NZ_CP032452.1	2758014	2763712	7870.0000	1	1	0	1	1	0	0
GCF_964259345.1	NZ_CAXVJR010000007.1	17308	23009	7880.0000	1	1	0	1	1	0	0
GCF_016071375.1	NZ_CP063816.1	1307198	1314043	9468.0000	1	1	0	1	0	1	1
GCF_900447155.1	NZ_UFWX01000001.1	3451797	3458909	9457.0000	1	1	0	1	0	1	1
GCF_900205945.1	NZ_OAOH01000001.1	453437	464182	9573.0000	1	1	0	1	0	1	1
GCF_001854185.1	NZ_CP017603.1	3131769	3139393	11318.0000	1	1	0	1	1	1	1
GCF_901482605.1	NZ_LR590481.1	1927708	1934626	9397.0000	1	1	0	1	0	1	1
GCF_026410065.1	NZ_CP112872.1	2472981	2480000	9491.0000	1	1	0	1	0	1	1
GCF_037057455.1	NZ_CP124295.1	3110820	3116521	7881.0000	1	1	0	1	1	0	0
GCF_001886775.1	NZ_CP013242.1	772	6818	7434.0000	0	1	0	1	0	1	1
GCF_040267475.1	NZ_CP125628.1	4170540	4175303	5999.0000	0	1	0	1	0	1	0
GCF_045865195.1	NZ_AP031606.1	2267635	2274793	9565.0000	1	1	0	1	0	1	1
GCF_004803955.2	NZ_CP163137.1	2233374	2237871	5123.0000	0	0	0	1	0	1	1
GCF_002250075.1	NZ_CP016893.1	2576894	2584228	10748.0000	1	1	0	1	1	1	1
GCF_019144085.1	NZ_JAHHUY010000004.1	55479	62338	9367.0000	1	1	0	1	0	1	1
GCF_020911725.1	NZ_CP076620.1	1533044	1539918	8254.0000	1	1	0	1	0	1	0
GCF_900461065.1	NZ_UAVV01000002.1	573263	580087	9604.0000	1	1	0	1	0	1	1
GCF_030815255.1	NZ_JAUSWN010000010.1	84128	91045	9433.0000	1	1	0	1	0	1	1
GCF_900002825.1	NZ_CDAA01000001.1	3201790	3208239	7860.0000	1	1	0	1	1	0	0
GCF_001636845.1	NZ_LITT01000004.1	107564	114493	9348.0000	1	1	0	1	0	1	1
GCF_039521365.1	NZ_BAAACF010000012.1	203400	210257	7716.0000	1	1	0	1	0	0	1
GCF_000968375.1	NZ_CP009933.1	5274198	5281298	9462.0000	1	1	0	1	0	1	1
GCF_013294265.1	NZ_JABSWD010000001.1	3060865	3067972	9569.0000	1	1	0	1	0	1	1
GCF_039521565.1	NZ_BAAACP010000006.1	140604	146307	7807.0000	1	1	0	1	1	0	0
GCF_965140945.1	NZ_OZ223661.1	965803	976068	10836.0000	1	1	0	1	1	1	1
GCF_002074155.1	NZ_CP014176.1	1737288	1744391	9546.0000	1	1	0	1	0	1	1
GCF_900108045.1	NZ_FNUK01000016.1	38598	45023	10096.0000	1	1	0	1	0	1	1
GCF_023653455.2	NZ_CP161000.1	2804035	2809730	7838.0000	1	1	0	1	1	0	0
GCF_900111595.1	NZ_FOHN01000015.1	52931	61692	5985.0000	0	1	0	1	0	1	0
GCF_002006235.2	NZ_CP096988.1	220312	227472	9457.0000	1	1	0	1	0	1	1
GCF_900167445.1	NZ_FUZT01000005.1	261103	268639	11748.0000	1	1	0	1	1	1	1
GCF_013781885.1	NZ_CP059378.1	3021409	3028355	9440.0000	1	1	0	1	0	1	1
GCF_001571775.1	NZ_LRVM01000006.1	145605	152022	3375.0000	0	0	0	1	0	1	1
GCF_001317355.1	NZ_LKET01000028.1	139088	145969	9960.0000	1	1	0	1	0	1	1
GCF_900112775.1	NZ_FOYZ01000003.1	254876	261928	5920.0000	0	1	0	1	0	1	0
