Organism	Scaffold	Start	End	Score	ctg16_37	ctg16_38	ctg16_39	ctg16_40	ctg16_41	ctg16_42	ctg16_43	Number	Strand	Layout_group	assembly_file	representative	dereplication_status
GCF_000016505.1	NC_009706.1	3198323	3205324	9391.0	1	1	0	1	0	1	1	197	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_000016505.1.fasta.gz	NC_009706.1|3198323|3205324	dereplication_representative
GCF_000018325.1	NC_009922.1	1819042	1824364	8160.0	1	1	0	1	1	0	0	222	(-1, -1, -1, -1)	(3, 2, 1, 0)	GCF_000018325.1.fasta.gz	NC_009922.1|1819042|1824364	dereplication_representative
GCF_000019065.1	NC_010320.1	1489001	1496313	10924.0	1	1	0	1	1	1	1	36	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_000019065.1.fasta.gz	NC_010320.1|1489001|1496313	dereplication_representative
GCF_000018425.1	NC_010424.1	1417436	1434038	6386.0	0	1	0	2	0	1	1	270	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_000018425.1.fasta.gz	NC_010424.1|1417436|1434038	dereplication_representative
GCF_000020005.1	NC_010718.1	1852974	1858849	6242.0	1	1	0	1	0	0	0	298	(-1, -1, -1)	(2, 1, 0)	GCF_000020005.1.fasta.gz	NC_010718.1|1852974|1858849	dereplication_representative
GCF_000022065.1	NC_011898.1	616871	624663	10429.0	1	1	0	1	1	1	1	50	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_000022065.1.fasta.gz	NC_011898.1|616871|624663	dereplication_representative
GCF_000025645.1	NC_013921.1	1062801	1070115	10952.0	1	1	0	1	1	1	1	34	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_000025645.1.fasta.gz	NC_013921.1|1062801|1070115	dereplication_representative
GCF_000145275.1	NC_014393.1	2478182	2485341	9248.0	1	1	0	1	0	1	1	210	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_000145275.1.fasta.gz	NC_014393.1|2478182|2485341	dereplication_representative
GCF_000213255.1	NC_015520.1	958050	963860	7911.0	0	1	0	1	0	1	1	229	(1, 1, 1, 1)	(3, 2, 1, 0)	GCF_000213255.1.fasta.gz	NC_015520.1|958050|963860	dereplication_representative
GCF_000189775.2	NC_015555.1	1478768	1489465	9900.0	1	1	0	1	0	1	1	75	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_000189775.2.fasta.gz	NC_015555.1|1478768|1489465	dereplication_representative
GCF_000237085.1	NC_016627.1	2438094	2442626	5196.0	0	0	0	1	0	1	1	381	(-1, -1, -1)	(2, 1, 0)	GCF_000237085.1.fasta.gz	NC_016627.1|2438094|2442626	dereplication_representative
GCF_000247605.1	NC_016894.1	1518939	1523141	6561.0	1	1	0	1	0	0	0	265	(1, 1, 1)	(2, 1, 0)	GCF_000247605.1.fasta.gz	NC_016894.1|1518939|1523141	dereplication_representative
GCF_000307585.2	NC_017992.1	1754452	1761295	9865.0	1	1	0	1	0	1	1	77	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	GCF_000307585.2.fasta.gz	NC_017992.1|1754452|1761295	dereplication_representative
GCF_036763025.1	NZ_JBAIYY010000001.1	17954	24803	9881.0	1	1	0	1	0	1	1	76	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_036763025.1.fasta.gz	NC_017992.1|1754452|1761295	redundant
GCF_028895185.1	NZ_JAEUWW010000001.1	897469	904313	9932.0	1	1	0	1	0	1	1	72	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_028895185.1.fasta.gz	NC_017992.1|1754452|1761295	redundant
GCF_000389635.1	NC_021182.1	2343623	2350770	9450.0	1	1	0	1	0	1	1	172	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	GCF_000389635.1.fasta.gz	NC_021182.1|2343623|2350770	dereplication_representative
GCF_000169255.2	NZ_AAXG02000012.1	158845	168475	6278.0	1	1	0	1	0	0	0	285	(-1, -1, -1)	(2, 1, 0)	GCF_000169255.2.fasta.gz	NZ_AAXG02000012.1|158845|168475	dereplication_representative
GCF_000300195.1	NZ_AMQH01000006.1	374099	381023	9612.0	1	1	0	1	0	1	1	88	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_000300195.1.fasta.gz	NZ_AMQH01000006.1|374099|381023	dereplication_representative
GCF_014218335.1	NZ_AP023367.1	1231730	1239141	5819.0	0	1	0	1	0	1	0	372	(1, 1, 1)	(2, 1, 0)	GCF_014218335.1.fasta.gz	NZ_AP023367.1|1231730|1239141	dereplication_representative
GCF_016591975.1	NZ_AP024169.1	1429390	1436782	5944.0	0	1	0	1	0	1	0	346	(1, 1, 1)	(2, 1, 0)	GCF_016591975.1.fasta.gz	NZ_AP024169.1|1429390|1436782	dereplication_representative
GCF_047150065.1	NZ_AP027090.1	2744870	2751367	9511.0	1	1	0	1	0	1	1	126	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_047150065.1.fasta.gz	NZ_AP027090.1|2744870|2751367	dereplication_representative
GCF_002355795.1	NZ_AP017630.1	2264092	2270589	9513.0	1	1	0	1	0	1	1	125	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_002355795.1.fasta.gz	NZ_AP027090.1|2744870|2751367	redundant
GCF_033097505.1	NZ_AP028654.1	1680102	1687185	11792.0	1	1	0	1	1	1	1	6	(-1, -1, -1, -1, -1, -1)	(5, 4, 3, 2, 1, 0)	GCF_033097505.1.fasta.gz	NZ_AP028654.1|1680102|1687185	dereplication_representative
GCF_042848755.1	NZ_AP031438.1	1471174	1476774	6253.0	1	1	0	1	0	0	0	291	(-1, -1, -1)	(2, 1, 0)	GCF_042848755.1.fasta.gz	NZ_AP031438.1|1471174|1476774	dereplication_representative
GCF_045865195.1	NZ_AP031606.1	2267635	2274793	9565.0	1	1	0	1	0	1	1	103	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_045865195.1.fasta.gz	NZ_AP031606.1|2267635|2274793	dereplication_representative
GCF_000421965.1	NZ_ATAY01000011.1	6298	14002	10281.0	1	1	0	1	1	1	1	57	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_000421965.1.fasta.gz	NZ_ATAY01000011.1|6298|14002	dereplication_representative
GCF_029318685.1	NZ_CP119677.1	1795576	1803326	10429.0	1	1	0	1	1	1	1	51	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_029318685.1.fasta.gz	NZ_ATAY01000011.1|6298|14002	redundant
GCF_000244875.1	NC_016791.1	1824208	1831968	10399.0	1	1	0	1	1	1	1	53	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_000244875.1.fasta.gz	NZ_ATAY01000011.1|6298|14002	redundant
GCF_039521365.1	NZ_BAAACF010000012.1	203400	210257	7716.0	1	1	0	1	0	0	1	245	(-1, -1, -1, -1)	(3, 2, 1, 0)	GCF_039521365.1.fasta.gz	NZ_BAAACF010000012.1|203400|210257	dereplication_representative
