representative	cluster_size
NC_009706.1|3198322|3205324	1
NC_009922.1|1819041|1824364	1
NC_010320.1|1489000|1496313	1
NC_010718.1|1852973|1858849	1
NC_011898.1|616870|624663	1
NC_013921.1|1062800|1070115	1
NC_014328.1|3687410|3694350	1
NC_014393.1|2478181|2485341	1
NC_015425.1|1172809|1179660	1
NC_015520.1|958049|963860	1
NC_015555.1|1478767|1489465	1
NC_016627.1|2438093|2442626	1
NC_016791.1|1824207|1831968	1
NC_016894.1|1518938|1523141	1
NC_017992.1|1754451|1761295	1
NC_021182.1|2343622|2350770	1
NZ_AAXG02000012.1|158844|168475	1
NZ_AMQH01000006.1|374098|381023	1
NZ_AP017630.1|2264091|2270589	1
NZ_AP023367.1|1231729|1239141	1
NZ_AP024169.1|1429389|1436782	1
NZ_AP027090.1|2744869|2751367	1
NZ_AP028654.1|1680101|1687185	1
NZ_AP031438.1|1471173|1476774	1
NZ_AP031606.1|2267634|2274793	1
NZ_ATAY01000011.1|6297|14002	1
NZ_BAAACF010000012.1|203399|210257	1
NZ_BAAACI010000001.1|1106876|1113716	1
NZ_BAAACP010000006.1|140603|146307	1
NZ_BAABYN010000001.1|2990958|2997730	1
NZ_BAABYT010000001.1|1087291|1091195	1
NZ_BAABZE010000001.1|5323324|5328070	1
NZ_BAABZG010000001.1|2210184|2221081	1
NZ_BBCG01000019.1|17619|21498	1
NZ_BDHH01000005.1|4493|8565	1
NZ_BDQY01000002.1|57403|65369	1
NZ_BLZR01000001.1|3256980|3263758	1
NZ_BMBA01000001.1|1204039|1210812	1
NZ_BOPZ01000008.1|44700|51714	1
NZ_BQNK01000001.1|1171698|1176472	1
NZ_BQXZ01000002.1|837866|844644	1
NZ_BROD01000001.1|1375320|1382172	1
NZ_BRPJ01000046.1|21986|26755	1
NZ_BRXR01000001.1|41553|48471	1
NZ_CABFVD010000001.1|114357|121386	1
NZ_CABKRL010000001.1|762142|769229	1
NZ_CABKTN010000007.1|926950|933826	1
NZ_CABKWO010000005.1|1115118|1121623	1
NZ_CABLCB010000083.1|376970|383904	1
NZ_CABMKD010000012.1|1599550|1605064	1
NZ_CABMKL010000001.1|2240289|2244987	1
NZ_CABMKM010000004.1|597219|602040	1
NZ_CALPCP010000015.1|57560|64144	1
NZ_CALPCY010000007.1|93433|98187	1
NZ_CALSFS010000005.1|9921|17030	1
NZ_CANCWE010000007.1|108408|115488	1
NZ_CANOOQ010000001.1|853203|858025	1
NZ_CAXSLG010000003.1|94099|98820	1
NZ_CAXTPD010000001.1|156445|161134	1
