representative	size
GCA_003642525.1	506
GCA_003680555.1	1
GCA_003681315.1	1
GCA_003871855.1	427
GCA_004150675.1	1188
GCA_004386925.1	1
GCA_004387205.1	1
GCA_004387845.1	467
GCA_004404285.1	782
GCA_004405285.1	417
GCA_004430635.1	466
GCA_004431765.1	50
GCA_004456455.1	1
GCA_004459525.1	2
GCA_004494505.1	568
GCA_004502065.1	2
GCA_004513085.1	1
GCA_004518725.1	7
GCA_004677685.1	1
GCA_004703665.1	1494
GCA_004727665.1	1
GCA_006149605.1	1
GCA_007448965.1	1
GCA_007449225.1	2
GCA_007449565.1	1
GCA_007458955.1	1
GCA_007853215.1	1
GCA_009427785.1	1
GCA_009450145.1	1
GCA_010090215.1	1
GCA_010121185.1	1
GCA_012821595.1	13
GCA_013504335.1	1
GCA_014751145.1	273
GCA_015013975.1	20
GCA_015020045.1	51
GCA_015183005.1	3
GCA_015251205.1	618
GCA_016976415.1	1
GCA_017122535.1	1
GCA_018752475.1	1
GCA_018753155.1	3
GCA_018839795.1	1
GCA_020170175.1	2
GCA_020901935.1	1
GCA_021277805.1	26
GCA_023304585.1	3135
GCA_024140385.1	2
GCA_025700455.1	2
GCA_028586115.1	6
GCA_030868375.1	6
GCA_030868635.1	80
GCA_030868955.1	62
GCA_030950305.1	1
GCA_031000435.1	1
GCA_031051555.1	1
GCA_031253395.1	1
GCA_032010825.1	1
GCA_033443985.1	3
GCA_033984595.1	1
GCA_035471005.1	7
GCF_000438685.2	1106
GCF_001760155.1	1
GCF_006339625.1	1
GCF_008270065.1	1
GCF_008270085.1	2
GCF_014223765.1	10
GCF_014224075.1	17
GCF_014224445.1	2
GCF_014225605.1	1
GCF_014226145.1	29
GCF_014226815.1	2
GCF_014228255.1	2
GCF_014228695.1	1
GCF_014229245.1	1
GCF_014322705.1	1
GCF_014526615.1	2
GCF_015275825.1	3
GCF_015276295.1	5
GCF_015697685.1	9
GCF_018475665.1	3
GCF_018475685.1	21
GCF_021029705.2	2
GCF_026616575.1	7
GCF_027863775.1	1
GCF_027863835.1	4
