Organism	Scaffold	Start	End	Score	ctg16_37	ctg16_38	ctg16_39	ctg16_40	ctg16_41	ctg16_42	ctg16_43	Number	Strand	Layout_group	representative	dereplication_status	Start_x	Start_y	End_x	End_y	Start_bin	End_bin	Interval_bin	Start_drep	End_drep	Interval_drep
GCF_000016505.1	NC_009706.1	3198323.0	3205324.0	9391.0	1	1	0	1	0	1	1	197	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NC_009706.1:3193323-3210324	dereplication_representative										
GCF_000018325.1	NC_009922.1	1819042.0	1824364.0	8160.0	1	1	0	1	1	0	0	222	(-1, -1, -1, -1)	(3, 2, 1, 0)	NC_009922.1:1814042-1829364	dereplication_representative										
GCF_000019065.1	NC_010320.1	1489001.0	1496313.0	10924.0	1	1	0	1	1	1	1	36	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	NC_010320.1:1484001-1501313	dereplication_representative										
GCF_000018425.1	NC_010424.1	1417436.0	1434038.0	6386.0	0	1	0	2	0	1	1	270	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NC_010424.1:1412436-1439038	dereplication_representative										
GCF_000020005.1	NC_010718.1	1852974.0	1858849.0	6242.0	1	1	0	1	0	0	0	298	(-1, -1, -1)	(2, 1, 0)	NC_010718.1:1847974-1863849	dereplication_representative										
GCF_000022065.1	NC_011898.1	616871.0	624663.0	10429.0	1	1	0	1	1	1	1	50	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	NC_011898.1:611871-629663	dereplication_representative										
GCF_000025645.1	NC_013921.1	1062801.0	1070115.0	10952.0	1	1	0	1	1	1	1	34	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	NC_013921.1:1057801-1075115	dereplication_representative										
GCF_000145275.1	NC_014393.1	2478182.0	2485341.0	9248.0	1	1	0	1	0	1	1	210	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NC_014393.1:2473182-2490341	dereplication_representative										
GCF_000213255.1	NC_015520.1	958050.0	963860.0	7911.0	0	1	0	1	0	1	1	229	(1, 1, 1, 1)	(3, 2, 1, 0)	NC_015520.1:953050-968860	dereplication_representative										
GCF_000189775.2	NC_015555.1	1478768.0	1489465.0	9900.0	1	1	0	1	0	1	1	75	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NC_015555.1:1473768-1494465	dereplication_representative										
GCF_000237085.1	NC_016627.1	2438094.0	2442626.0	5196.0	0	0	0	1	0	1	1	381	(-1, -1, -1)	(2, 1, 0)	NC_016627.1:2433094-2447626	dereplication_representative										
GCF_000247605.1	NC_016894.1	1518939.0	1523141.0	6561.0	1	1	0	1	0	0	0	265	(1, 1, 1)	(2, 1, 0)	NC_016894.1:1513939-1528141	dereplication_representative										
GCF_000307585.2	NC_017992.1	1754452.0	1761295.0	9865.0	1	1	0	1	0	1	1	77	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NC_017992.1:1749452-1766295	dereplication_representative										
