representative	cluster_size
GCF_000016505.1_ASM1650v1_genomic.fna.gz	1
GCF_000018325.1_ASM1832v1_genomic.fna.gz	1
GCF_000018425.1_ASM1842v1_genomic.fna.gz	1
GCF_000020005.1_ASM2000v1_genomic.fna.gz	1
GCF_000022065.1_ASM2206v1_genomic.fna.gz	1
GCF_000025645.1_ASM2564v1_genomic.fna.gz	1
GCF_000145275.1_ASM14527v1_genomic.fna.gz	1
GCF_000169255.2_ASM16925v2_genomic.fna.gz	1
GCF_000179595.2_ASM17959v2_genomic.fna.gz	1
GCF_000213255.1_ASM21325v1_genomic.fna.gz	1
GCF_000237085.1_ASM23708v1_genomic.fna.gz	1
GCF_000242235.1_Lach_bact_ACC2_V1_genomic.fna.gz	1
GCF_000247605.1_ASM24760v1_genomic.fna.gz	1
GCF_000300195.1_ASM30019v1_genomic.fna.gz	1
GCF_000308275.2_LM2_genomic.fna.gz	1
GCF_000364165.2_ASM36416v2_genomic.fna.gz	1
GCF_000383295.1_ASM38329v1_genomic.fna.gz	1
GCF_000389635.1_ASM38963v1_genomic.fna.gz	1
GCF_000421965.1_CpC7_genomic.fna.gz	2
GCF_000430995.1_TC1_genomic.fna.gz	1
GCF_000526495.1_ASM52649v1_genomic.fna.gz	1
GCF_000577895.1_M2_40_genomic.fna.gz	1
GCF_000619945.1_ASM61994v1_genomic.fna.gz	1
GCF_000621485.1_ASM62148v1_genomic.fna.gz	1
GCF_000621505.1_ASM62150v1_genomic.fna.gz	1
GCF_000686705.1_ASM68670v1_genomic.fna.gz	1
GCF_000686725.1_ASM68672v1_genomic.fna.gz	1
GCF_000699585.2_CLIT1_genomic.fna.gz	1
GCF_000703125.1_ASM70312v1_genomic.fna.gz	1
GCF_000709435.1_ASM70943v1_genomic.fna.gz	1
GCF_000724385.2_It1_0.1_genomic.fna.gz	1
GCF_000732635.1_CloSul1.0_genomic.fna.gz	1
GCF_000744935.1_ASM74493v1_genomic.fna.gz	1
GCF_000981035.1_ASM98103v1_genomic.fna.gz	1
GCF_001042715.1_ASM104271v1_genomic.fna.gz	1
GCF_001047375.1_ASM104737v1_genomic.fna.gz	1
GCF_001262605.1_ASM126260v1_genomic.fna.gz	1
GCF_001263795.1_ASM126379v1_genomic.fna.gz	1
GCF_001282685.1_Niameyia_massiliensis_genomic.fna.gz	1
GCF_001282725.1_Malnutritionisia_massiliensis_genomic.fna.gz	1
GCF_001299475.1_Neofamilia_massiliensis_genomic.fna.gz	1
GCF_001311925.1_ASM131192v1_genomic.fna.gz	1
GCF_001317355.1_ASM131735v1_genomic.fna.gz	1
GCF_001403635.1_Clostridium_massilioamazoniensis_genomic.fna.gz	1
GCF_001440545.1_ASM144054v1_genomic.fna.gz	1
GCF_001559865.1_ASM155986v1_genomic.fna.gz	1
GCF_001562415.1_ASM156241v1_genomic.fna.gz	1
GCF_001571775.1_ASM157177v1_genomic.fna.gz	1
GCF_001593985.1_ASM159398v1_genomic.fna.gz	1
GCF_001594005.1_ASM159400v1_genomic.fna.gz	1
GCF_001623875.1_ASM162387v1_genomic.fna.gz	1
GCF_001636845.1_ASM163684v1_genomic.fna.gz	4
GCF_001655775.1_ASM165577v1_genomic.fna.gz	1
GCF_001697285.1_ASM169728v1_genomic.fna.gz	1
GCF_001748365.1_ASM174836v1_genomic.fna.gz	1
GCF_001750685.1_ASM175068v1_genomic.fna.gz	1
GCF_001758365.1_ASM175836v1_genomic.fna.gz	1
GCF_001854185.1_ASM185418v1_genomic.fna.gz	1
GCF_001886775.1_ASM188677v1_genomic.fna.gz	3
GCF_001940245.1_ASM194024v1_genomic.fna.gz	1
GCF_001940315.1_ASM194031v1_genomic.fna.gz	1
GCF_002006235.2_ASM200623v2_genomic.fna.gz	1
GCF_002029235.1_ASM202923v1_genomic.fna.gz	1
GCF_002051585.1_ASM205158v1_genomic.fna.gz	1
GCF_002074155.1_ASM207415v1_genomic.fna.gz	1
GCF_002159175.1_ASM215917v1_genomic.fna.gz	1
GCF_002159465.1_ASM215946v1_genomic.fna.gz	1
GCF_002161055.1_ASM216105v1_genomic.fna.gz	1
GCF_002161065.1_ASM216106v1_genomic.fna.gz	1
GCF_002161085.1_ASM216108v1_genomic.fna.gz	1
GCF_002161175.1_ASM216117v1_genomic.fna.gz	1
GCF_002161215.1_ASM216121v1_genomic.fna.gz	1
GCF_002216005.1_ASM221600v1_genomic.fna.gz	1
GCF_002250835.2_ASM225083v2_genomic.fna.gz	1
GCF_002252565.1_ASM225256v1_genomic.fna.gz	1
GCF_002270055.1_ASM227005v1_genomic.fna.gz	1
GCF_002441855.2_ASM244185v2_genomic.fna.gz	1
GCF_002724055.1_ASM272405v1_genomic.fna.gz	1
GCF_002735925.1_ASM273592v1_genomic.fna.gz	1
GCF_002796935.1_ASM279693v1_genomic.fna.gz	1
GCF_002874775.1_ASM287477v1_genomic.fna.gz	1
GCF_002896855.1_ASM289685v1_genomic.fna.gz	1
GCF_002899675.1_ASM289967v1_genomic.fna.gz	1
GCF_002934545.1_ASM293454v1_genomic.fna.gz	3
GCF_002964605.1_ASM296460v1_genomic.fna.gz	1
GCF_002969215.1_ASM296921v1_genomic.fna.gz	1
GCF_003024715.1_ASM302471v1_genomic.fna.gz	1
GCF_003047205.1_ASM304720v1_genomic.fna.gz	1
GCF_003096175.1_ASM309617v1_genomic.fna.gz	2
GCF_003208175.1_ASM320817v1_genomic.fna.gz	1
GCF_003254825.1_ASM325482v1_genomic.fna.gz	1
GCF_003337415.1_ASM333741v1_genomic.fna.gz	1
GCF_003435225.1_ASM343522v1_genomic.fna.gz	1
