representative	size
GCA_001213105.1	1
GCA_001213265.1	1
GCA_003642525.1	575
GCA_003680555.1	1
GCA_003681315.1	1
GCA_003871855.1	611
GCA_004150675.1	1377
GCA_004386925.1	1
GCA_004387205.1	1
GCA_004387845.1	596
GCA_004404285.1	804
GCA_004405285.1	515
GCA_004430635.1	528
GCA_004431765.1	51
GCA_004456455.1	1
GCA_004459525.1	4
GCA_004494505.1	692
GCA_004495785.1	918
GCA_004502065.1	2
GCA_004513085.1	1
GCA_004518725.1	7
GCA_004677685.1	1
GCA_004703665.1	1537
GCA_004727665.1	1
GCA_005250085.1	1
GCA_006149605.1	1
GCA_007448805.1	2
GCA_007448965.1	1
GCA_007449225.1	2
GCA_007449565.1	1
GCA_007458955.1	1
GCA_007853215.1	1
GCA_008821175.1	1
GCA_009427785.1	1
GCA_009450145.1	1
GCA_010090215.1	1
GCA_010121185.1	1
GCA_012821595.1	16
GCA_013331465.1	1
GCA_013504335.1	1
GCA_014751145.1	292
GCA_015013975.1	20
GCA_015020045.1	57
GCA_015183005.1	3
GCA_015251205.1	579
GCA_016976415.1	1
GCA_017122535.1	1
GCA_017385505.1	1
GCA_017386665.1	1
GCA_017403835.1	1
GCA_017405305.1	1
GCA_017413255.1	1
GCA_017537945.1	1
GCA_017538885.1	1
GCA_017652165.1	1
GCA_018752475.1	1
GCA_018753155.1	3
GCA_018839795.1	1
GCA_019390335.1	1
GCA_019906715.1	18
GCA_020170175.1	2
GCA_020901935.1	1
GCA_021214975.1	2
GCA_021238515.1	2
GCA_021243825.1	8
GCA_021277805.1	29
GCA_022780915.1	1
GCA_023304585.1	3582
GCA_024104055.1	2
GCA_024140385.1	2
GCA_024533065.1	10
GCA_024533895.1	3
GCA_024534815.1	2
GCA_024741755.1	2
GCA_025346245.1	1
GCA_025349565.1	1
GCA_025700455.1	2
GCA_025998855.1	1
GCA_025998895.1	1
GCA_027288345.1	5
GCA_027479045.1	2
GCA_027978605.1	5
GCA_027984535.1	12
GCA_028068755.1	9
GCA_029014485.1	2
GCA_029812025.1	2
GCA_030287905.1	48
GCA_030868315.1	6
GCA_030868955.1	77
GCA_030889165.1	1
GCA_030950305.1	1
GCA_030993625.1	1
GCA_031000435.1	1
GCA_031051555.1	1
GCA_031253395.1	1
GCA_031261705.1	1
GCA_031999865.1	1
GCA_032010825.1	1
GCA_032163345.1	7
GCA_032294625.1	5
GCA_032475195.1	86
GCA_032485695.1	2
GCA_032512225.1	1
GCA_032563235.1	1
GCA_032573055.1	1
GCA_033443985.1	3
GCA_033780795.1	1
GCA_033859815.1	3
GCA_033984595.1	1
GCA_036183565.1	1
GCA_036311345.1	1
GCA_040435655.1	8
GCA_040524045.1	4
GCA_040745665.1	10
GCA_040747995.1	17
GCA_040953205.1	19
GCA_042165375.1	89
GCA_042238165.1	16
GCA_042681845.1	4
GCA_043195615.1	3
GCA_043846615.1	1
GCA_043846635.1	2
GCA_044734685.1	1
GCF_000144955.2	427
GCF_000162255.1	1
GCF_000162315.1	8
GCF_000165885.1	1
GCF_000183965.1	4
GCF_000301115.1	3
GCF_000301135.1	26
GCF_000333915.1	1
GCF_000394055.1	4
GCF_000438685.2	1407
GCF_000709085.1	1
GCF_000763125.1	1
GCF_000972575.1	6
GCF_001587275.1	1
GCF_001587535.1	1
GCF_001760155.1	1
GCF_001937475.1	2
GCF_001937605.1	1
GCF_001937615.1	1
GCF_001956365.1	1
GCF_001956415.1	1
GCF_001956475.1	1
GCF_001956485.1	1
GCF_001956505.1	1
GCF_001956515.1	1
GCF_001956555.1	1
GCF_001956565.1	1
GCF_001956575.1	1
GCF_001956635.1	1
GCF_002554315.1	5
