Organism                                                      Scaffold              Start    End      Score  LMOf2365_1112  LMOf2365_1113  LMOf2365_1114  LMOf2365_1115  LMOf2365_1116  LMOf2365_1117  LMOf2365_1118  LMOf2365_1119
Chlamydia trachomatis SwabB8                                  CSTN01000043.1        124      2232     5.05   0              0              0              1              1              1              0              0            
Chlamydia trachomatis SwabB4                                  CSTQ01000052.1        86       5492     13.15  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL003275                           RCPF01000001.1        19064    24742    13.38  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL000152                           AAAKDP010000003.1     92       2087     5.13   0              1              1              1              0              0              0              0            
Listeria monocytogenes PNUSAL003965                           RELK01000001.1        256      5354     11.34  0              1              1              1              1              1              1              0            
Listeria monocytogenes                                        DAEUZS010000032.1     165      3585     4.17   0              0              0              1              1              0              1              0            
Listeria monocytogenes 01537864                               ABTALL010000007.1     117184   122869   10.31  0              1              1              1              1              0              1              1            
Listeria monocytogenes PNUSAL001562                           AAAPIF010000059.1     300      5397     8.28   0              1              1              1              0              1              1              0            
Listeria monocytogenes OSF108035                              AAXHQW010000054.1     373      3177     5.19   0              0              0              0              0              1              1              1            
Listeria monocytogenes clinical isolate of L. monocytogenes   DASCFS010000040.1     186      3122     5.20   0              0              0              0              1              1              1              0            
Listeria monocytogenes                                        DAAESN010000061.1     244      3111     7.19   0              1              1              1              1              0              0              0            
Listeria monocytogenes PNUSAL002615                           AAAUCQ010000064.1     0        2853     7.19   0              0              1              1              1              1              0              0            
Listeria monocytogenes PNUSAL012053                           ABDQRO010000001.1     592620   598331   10.32  0              1              1              1              0              1              1              1            
Listeria monocytogenes PNUSAL004335                           AAAMMK010000067.1     415      4129     9.24   0              1              1              1              1              1              0              0            
Listeria monocytogenes Ulm_68                                 AANCMY010000007.1     256      5355     8.28   0              1              1              1              1              0              1              0            
Listeria monocytogenes 886668                                 AAPEUL010000040.1     92       2207     5.14   0              0              0              1              1              1              0              0            
Listeria monocytogenes PNUSAL005284                           AANEEP010000047.1     0        3884     9.26   0              0              0              1              1              1              1              1            
Listeria monocytogenes PNUSAL004597                           AAANEN010000003.1     3264     8055     11.31  0              0              1              1              1              1              1              1            
Listeria monocytogenes CLIP 2015/00252                        DAAKWY010000001.1     3264     8925     8.22   0              1              1              1              1              0              0              1            
Listeria monocytogenes 19063                                  AABDIF010000068.1     0        3379     7.22   0              0              0              0              1              1              1              1            
Listeria monocytogenes clinical isolate of L. monocytogenes   DABQGU010000032.1     1150     5361     9.28   0              0              1              1              1              1              1              0            
Listeria monocytogenes LM07-01337                             CYVO01000002.1        114281   120108   15.38  1              1              1              1              1              1              1              1            
Listeria monocytogenes IEH-NGS-LIS-00946                      AABAKE010000088.1     0        1545     5.10   0              0              1              1              1              0              0              0            
Listeria monocytogenes OSF107810                              AAXMLI010000030.1     128      3549     7.23   0              0              0              1              1              1              1              0            
Listeria monocytogenes 2012L-5091                             AAAJQA010000021.1     263      5940     10.28  0              1              1              1              1              1              0              1            
Listeria monocytogenes PNUSAL004110                           RENG01000005.1        2600     8279     13.37  0              1              1              1              1              1              1              1            
