representative	cluster_size
NC_009706.1|3198323|3205324	1
NC_009922.1|1819042|1824364	1
NC_010320.1|1489001|1496313	1
NC_010424.1|1417436|1434038	1
NC_010718.1|1852974|1858849	1
NC_011898.1|616871|624663	1
NC_013921.1|1062801|1070115	1
NC_014393.1|2478182|2485341	1
NC_015520.1|958050|963860	1
NC_015555.1|1478768|1489465	1
NC_016627.1|2438094|2442626	1
NC_016894.1|1518939|1523141	1
NC_017992.1|1754452|1761295	3
NC_021182.1|2343623|2350770	1
NZ_AAXG02000012.1|158845|168475	1
NZ_AMQH01000006.1|374099|381023	1
NZ_AP023367.1|1231730|1239141	1
NZ_AP024169.1|1429390|1436782	1
NZ_AP027090.1|2744870|2751367	2
NZ_AP028654.1|1680102|1687185	1
NZ_AP031438.1|1471174|1476774	1
NZ_AP031606.1|2267635|2274793	1
NZ_ATAY01000011.1|6298|14002	3
NZ_BAAACF010000012.1|203400|210257	1
NZ_BAAACP010000006.1|140604|146307	1
NZ_BAABYN010000001.1|2990959|2997730	1
NZ_BAABZE010000001.1|5323325|5328070	2
NZ_BAABZG010000001.1|2210185|2221081	1
NZ_BBCG01000019.1|17620|21498	1
NZ_BDHH01000005.1|4494|8565	1
NZ_BDQY01000002.1|57404|65369	1
NZ_BMBA01000001.1|1204040|1210812	3
NZ_BOPZ01000008.1|44701|51714	1
NZ_BQNK01000001.1|1171699|1176472	1
NZ_BQXZ01000002.1|837867|844644	1
NZ_BROD01000001.1|1375321|1382172	1
NZ_BRPJ01000046.1|21987|26755	1
NZ_BRXR01000001.1|41554|48471	1
NZ_CABFVD010000001.1|114358|121386	1
NZ_CABKRL010000001.1|762143|769229	2
NZ_CABKTN010000007.1|926951|933826	1
NZ_CABKWO010000005.1|1115119|1121623	1
NZ_CABLCB010000083.1|376971|383904	1
NZ_CABMKD010000012.1|1599551|1605064	1
NZ_CABMKL010000001.1|2240290|2244987	1
NZ_CABMKM010000004.1|597220|602040	1
NZ_CALPCP010000015.1|57561|64144	1
NZ_CALPCY010000007.1|93434|98187	1
