scaffold	representative	dereplication_status
JAWEBE010000030.1	GCA_032475195.1	dereplication_representative
NZ_KV831559.1	GCA_032475195.1	redundant
NZ_JACMRY010000002.1	GCA_032475195.1	redundant
NZ_KV831174.1	GCA_032475195.1	redundant
NZ_CP060160.1	GCA_032475195.1	redundant
NZ_JIBR01000012.1	GCA_032475195.1	redundant
NZ_KV828982.1	GCA_032475195.1	redundant
NZ_CP023539.1	GCA_032475195.1	redundant
NZ_CP063143.1	GCA_032475195.1	redundant
NZ_GL622352.1	GCA_032475195.1	redundant
NZ_KV817162.1	GCA_032475195.1	redundant
NZ_KV799542.1	GCA_032475195.1	redundant
NZ_KV794617.1	GCA_032475195.1	redundant
NZ_KV840817.1	GCA_032475195.1	redundant
NZ_CP014022.1	GCA_032475195.1	redundant
NZ_KV831596.1	GCA_032475195.1	redundant
JAMAXP010000002.1	GCA_032475195.1	redundant
NZ_QVUS01000003.1	GCA_032475195.1	redundant
NZ_KV830854.1	GCA_032475195.1	redundant
NZ_KI978395.1	GCA_032475195.1	redundant
NZ_KV830292.1	GCA_032475195.1	redundant
NZ_CP023970.1	GCA_032475195.1	redundant
NZ_CP041726.1	GCA_032475195.1	redundant
NZ_AHLK01000012.1	GCA_032475195.1	redundant
NZ_KV828025.1	GCA_032475195.1	redundant
NZ_KV812761.1	GCA_032475195.1	redundant
JAWHHQ010000094.1	GCA_032475195.1	redundant
NZ_KV807464.1	GCA_032475195.1	redundant
NZ_CP020762.1	GCA_032475195.1	redundant
NZ_KV795710.1	GCA_032475195.1	redundant
NZ_JAHMMV010000001.1	GCA_032475195.1	redundant
JAWFMI010000001.1	GCA_032475195.1	redundant
NZ_AP021848.1	GCA_032475195.1	redundant
NZ_SCHB01000003.1	GCA_032475195.1	redundant
NZ_KV831395.1	GCA_032475195.1	redundant
NZ_CP038807.1	GCA_032475195.1	redundant
NZ_KV830673.1	GCA_032475195.1	redundant
NZ_KV828746.1	GCA_032475195.1	redundant
NZ_CP017069.2	GCA_032475195.1	redundant
NZ_CP041724.1	GCA_032475195.1	redundant
NZ_KV814444.1	GCA_032475195.1	redundant
NZ_JAKRKJ010000001.1	GCA_032475195.1	redundant
NZ_JBCGER010000002.1	GCA_032475195.1	redundant
NZ_JASOZB010000001.1	GCA_032475195.1	redundant
NZ_CAXOPE010000001.1	GCA_032475195.1	redundant
NZ_JAKEZL010000001.1	GCA_032475195.1	redundant
NZ_JALCXR010000002.1	GCA_032475195.1	redundant
NZ_JAKRKK010000002.1	GCA_032475195.1	redundant
NZ_CP048007.1	GCA_032475195.1	redundant
NZ_JAKRKF010000002.1	GCA_032475195.1	redundant
NZ_JBCGEZ010000002.1	GCA_032475195.1	redundant
NZ_JALCXF010000004.1	GCA_032475195.1	redundant
NZ_CP084444.1	GCA_032475195.1	redundant
NZ_CAXOQZ010000001.1	GCA_032475195.1	redundant
NZ_JBFEHM010000001.1	GCA_032475195.1	redundant
NZ_CP048713.1	GCA_032475195.1	redundant
NZ_JALCXG010000029.1	GCA_032475195.1	redundant
NZ_CP084480.1	GCA_032475195.1	redundant
NZ_JASOFG010000002.1	GCA_032475195.1	redundant
NZ_JALCXV010000001.1	GCA_032475195.1	redundant
NZ_JBBLTS010000002.1	GCA_032475195.1	redundant
NZ_JALCXE010000017.1	GCA_032475195.1	redundant
NZ_JASOVA010000003.1	GCA_032475195.1	redundant
NZ_JALXXQ010000002.1	GCA_032475195.1	redundant
NZ_JAKRKT010000002.1	GCA_032475195.1	redundant
NZ_JAKRKN010000001.1	GCA_032475195.1	redundant
NZ_JAKRKE010000003.1	GCA_032475195.1	redundant
NZ_JBCGEP010000002.1	GCA_032475195.1	redundant
NZ_JBBLTT010000002.1	GCA_032475195.1	redundant
NZ_JALCXC010000001.1	GCA_032475195.1	redundant
NZ_CP084437.1	GCA_032475195.1	redundant
NZ_JASOVG010000003.1	GCA_032475195.1	redundant
NZ_JBIPJO010000012.1	GCA_032475195.1	redundant
NZ_JALCXW010000003.1	GCA_032475195.1	redundant
NZ_JALCXP010000002.1	GCA_032475195.1	redundant
NZ_JAKRKU010000001.1	GCA_032475195.1	redundant
NZ_JAKRKI010000001.1	GCA_032475195.1	redundant
NZ_JBCGEQ010000001.1	GCA_032475195.1	redundant
NZ_JAMKQG010000003.1	GCA_032475195.1	redundant
NZ_JALCXD010000003.1	GCA_032475195.1	redundant
NZ_JALCXU010000001.1	GCA_032475195.1	redundant
NZ_KV840939.1	GCA_032475195.1	redundant
JAWEKW010000087.1	GCA_032475195.1	redundant
NZ_KQ957362.1	GCA_032475195.1	redundant
JBGIYM010000001.1	GCA_041321355.1	dereplication_representative
NZ_FMNQ01000002.1	GCA_041321355.1	redundant
NZ_FMMV01000003.1	GCA_041321355.1	redundant
NZ_FMNW01000003.1	GCA_041321355.1	redundant
NZ_FMOE01000004.1	GCA_041321355.1	redundant
NZ_FMNF01000005.1	GCA_041321355.1	redundant
DAKVDM010000001.1	GCA_041321355.1	redundant
DAQDBM010000001.1	GCA_041321355.1	redundant
NZ_CABFMG010000020.1	GCA_041321355.1	redundant
NZ_MLQF01000001.1	GCA_041321355.1	redundant
DAHQND010000001.1	GCA_041321355.1	redundant
DAKYZV010000001.1	GCA_041321355.1	redundant
DAKVDL010000042.1	GCA_041321355.1	redundant
DAPXXY010000003.1	GCA_041321355.1	redundant
DAHQMJ010000003.1	GCA_041321355.1	redundant
JBGNVK010000058.1	GCA_043195615.1	dereplication_representative
JBFMOL010000012.1	GCA_043195615.1	redundant
JBETMS010000007.1	GCA_043846615.1	dereplication_representative
JBETMR010000002.1	GCA_043846635.1	dereplication_representative
JBETML010000010.1	GCA_043846635.1	redundant
NC_017338.2	GCF_000144955.2	dereplication_representative
NZ_VRPQ01000003.1	GCF_000144955.2	redundant
DADKEN010000046.1	GCF_000144955.2	redundant
DANEEB010000001.1	GCF_000144955.2	redundant
DAKZKH010000002.1	GCF_000144955.2	redundant
DANEIA010000001.1	GCF_000144955.2	redundant
DAKZNO010000003.1	GCF_000144955.2	redundant
DAKZQI010000001.1	GCF_000144955.2	redundant
NZ_VRPN01000001.1	GCF_000144955.2	redundant
DADKAL010000002.1	GCF_000144955.2	redundant
DANEDZ010000001.1	GCF_000144955.2	redundant
DAKZJZ010000003.1	GCF_000144955.2	redundant
DANEHX010000001.1	GCF_000144955.2	redundant
DAKZNG010000002.1	GCF_000144955.2	redundant
DAKZPZ010000003.1	GCF_000144955.2	redundant
DARPTO010000002.1	GCF_000144955.2	redundant
NZ_VRPK01000001.1	GCF_000144955.2	redundant
DADKAI010000002.1	GCF_000144955.2	redundant
DAMULL010000001.1	GCF_000144955.2	redundant
DAKZIQ010000001.1	GCF_000144955.2	redundant
DANEHJ010000001.1	GCF_000144955.2	redundant
DAKZMU010000001.1	GCF_000144955.2	redundant
DAKZPV010000001.1	GCF_000144955.2	redundant
DARNGD010000001.1	GCF_000144955.2	redundant
DADJYF010000011.1	GCF_000144955.2	redundant
DANEHG010000001.1	GCF_000144955.2	redundant
DAKZML010000003.1	GCF_000144955.2	redundant
DANISB010000001.1	GCF_000144955.2	redundant
DAKZPQ010000001.1	GCF_000144955.2	redundant
NZ_OFWE01000031.1	GCF_000144955.2	redundant
DALNSG010000003.1	GCF_000144955.2	redundant
DARNGB010000001.1	GCF_000144955.2	redundant
DADJSM010000044.1	GCF_000144955.2	redundant
NZ_VRQU01000001.1	GCF_000144955.2	redundant
DANEHD010000003.1	GCF_000144955.2	redundant
DAKZLS010000001.1	GCF_000144955.2	redundant
DANIRG010000001.1	GCF_000144955.2	redundant
DAKZOY010000001.1	GCF_000144955.2	redundant
NZ_NAIV01000097.1	GCF_000144955.2	redundant
NZ_OFVJ01000043.1	GCF_000144955.2	redundant
DAKZSX010000001.1	GCF_000144955.2	redundant
DADJMD010000001.1	GCF_000144955.2	redundant
NZ_VRQS01000004.1	GCF_000144955.2	redundant
DANEGZ010000001.1	GCF_000144955.2	redundant
DAKZLJ010000001.1	GCF_000144955.2	redundant
DAKZOU010000001.1	GCF_000144955.2	redundant
DAKZSP010000001.1	GCF_000144955.2	redundant
