Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
/tmp/tmpflo6kvkl/genomes/GCF_029542625.1_ASM2954262v1_genomic.fna.gz	/tmp/tmpflo6kvkl/genomes/GCF_037844525.1_ASM3784452v1_genomic.fna.gz	90.10	38.95	52.04	NZ_CP120733.1 Tepidibacter hydrothermalis strain SWIR-1 chromosome, complete genome	NZ_JBBMMD010000001.1 Tepidibacter sp. Z1-5 soapdenovo_K_105_1, whole genome shotgun sequence
/tmp/tmpflo6kvkl/genomes/GCF_026738875.1_ASM2673887v1_genomic.fna.gz	/tmp/tmpflo6kvkl/genomes/GCF_030913655.1_ASM3091365v1_genomic.fna.gz	91.97	63.15	66.47	NZ_JAPQFJ010000001.1 Clostridium brassicae strain ZC22-4 spades_K_17_127_1, whole genome shotgun sequence	NZ_CP133189.1 Clostridium sp. MB40-C1 chromosome, complete genome
/tmp/tmpflo6kvkl/genomes/GCF_026650925.1_ASM2665092v1_genomic.fna.gz	/tmp/tmpflo6kvkl/genomes/GCF_026650965.1_ASM2665096v1_genomic.fna.gz	95.18	74.92	67.87	NZ_CP086147.1 Clostridium estertheticum strain CM034 chromosome, complete genome	NZ_CP086237.1 Clostridium estertheticum strain CF002 chromosome, complete genome
/tmp/tmpflo6kvkl/genomes/GCF_026650925.1_ASM2665092v1_genomic.fna.gz	/tmp/tmpflo6kvkl/genomes/GCF_030585465.1_ASM3058546v1_genomic.fna.gz	95.18	74.60	74.43	NZ_CP086147.1 Clostridium estertheticum strain CM034 chromosome, complete genome	NZ_CP077615.1 Clostridium estertheticum strain CF001 chromosome, complete genome
/tmp/tmpflo6kvkl/genomes/GCF_026650925.1_ASM2665092v1_genomic.fna.gz	/tmp/tmpflo6kvkl/genomes/GCF_026651005.1_ASM2665100v1_genomic.fna.gz	94.38	68.08	61.68	NZ_CP086147.1 Clostridium estertheticum strain CM034 chromosome, complete genome	NZ_CP086243.1 Clostridium estertheticum strain CF003 chromosome, complete genome
/tmp/tmpflo6kvkl/genomes/GCF_026650925.1_ASM2665092v1_genomic.fna.gz	/tmp/tmpflo6kvkl/genomes/GCF_030585505.1_ASM3058550v1_genomic.fna.gz	94.94	73.30	68.78	NZ_CP086147.1 Clostridium estertheticum strain CM034 chromosome, complete genome	NZ_CP077610.1 Clostridium estertheticum strain CF005 chromosome, complete genome
/tmp/tmpflo6kvkl/genomes/GCF_000732635.1_CloSul1.0_genomic.fna.gz	/tmp/tmpflo6kvkl/genomes/GCF_039521425.1_ASM3952142v1_genomic.fna.gz	91.51	63.21	57.39	NZ_JPMD01000001.1 Clostridium sulfidigenes strain 113A c1, whole genome shotgun sequence	NZ_BAAACI010000001.1 Clostridium subterminale strain JCM 1417 sequence01, whole genome shotgun sequence
/tmp/tmpflo6kvkl/genomes/GCF_014337195.1_ASM1433719v1_genomic.fna.gz	/tmp/tmpflo6kvkl/genomes/GCF_021044755.1_ASM2104475v1_genomic.fna.gz	90.67	67.04	67.82	NZ_CP060634.1 Qiania dongpingensis strain NSJ-38 chromosome, complete genome	NZ_JAJNOR010000001.1 Lientehia hominis strain NSJ-141 DMX98-D5-63_ctg0001, whole genome shotgun sequence
/tmp/tmpflo6kvkl/genomes/GCF_013781885.1_ASM1378188v1_genomic.fna.gz	/tmp/tmpflo6kvkl/genomes/GCF_035905475.1_ASM3590547v1_genomic.fna.gz	95.06	79.54	81.41	NZ_CP059378.1 Clostridium intestinale strain Lx1 chromosome, complete genome	NZ_CP121166.1 Clostridium intestinale strain PC17 chromosome, complete genome
/tmp/tmpflo6kvkl/genomes/GCF_000307585.2_ASM30758v2_genomic.fna.gz	/tmp/tmpflo6kvkl/genomes/GCF_036763025.1_ASM3676302v1_genomic.fna.gz	94.11	73.37	75.09	NC_017992.1 Thermoanaerobacterium saccharolyticum JW/SL-YS485, complete sequence	NZ_JBAIYY010000010.1 Thermoanaerobacterium saccharolyticum strain 1250_IL3153 NODE_10_length_97895_cov_69.621614, whole genome shotgun sequence
/tmp/tmpflo6kvkl/genomes/GCF_000307585.2_ASM30758v2_genomic.fna.gz	/tmp/tmpflo6kvkl/genomes/GCF_028895185.1_ASM2889518v1_genomic.fna.gz	92.64	68.53	75.77	NC_017992.1 Thermoanaerobacterium saccharolyticum JW/SL-YS485, complete sequence	NZ_JAEUWW010000001.1 Thermoanaerobacterium sp. R66 1, whole genome shotgun sequence
/tmp/tmpflo6kvkl/genomes/GCF_018861865.1_ASM1886186v1_genomic.fna.gz	/tmp/tmpflo6kvkl/genomes/GCF_026650965.1_ASM2665096v1_genomic.fna.gz	89.75	50.22	38.02	NZ_JAHLDV010000001.1 Clostridium frigoris strain DSM 14204 contig00001, whole genome shotgun sequence	NZ_CP086237.1 Clostridium estertheticum strain CF002 chromosome, complete genome
/tmp/tmpflo6kvkl/genomes/GCF_018861865.1_ASM1886186v1_genomic.fna.gz	/tmp/tmpflo6kvkl/genomes/GCF_018861905.1_ASM1886190v1_genomic.fna.gz	89.90	50.97	40.49	NZ_JAHLDV010000001.1 Clostridium frigoris strain DSM 14204 contig00001, whole genome shotgun sequence	NZ_JAHLDU010000001.1 Clostridium sp. DSM 17811 contig00001, whole genome shotgun sequence
/tmp/tmpflo6kvkl/genomes/GCF_000143685.1_ASM14368v1_genomic.fna.gz	/tmp/tmpflo6kvkl/genomes/GCF_019056555.1_ASM1905655v1_genomic.fna.gz	94.73	68.22	68.45	NC_014328.1 Clostridium ljungdahlii DSM 13528, complete sequence	NZ_CP020473.1 Clostridium sp. 001 chromosome, complete genome
/tmp/tmpflo6kvkl/genomes/GCF_000143685.1_ASM14368v1_genomic.fna.gz	/tmp/tmpflo6kvkl/genomes/GCF_001636845.1_ASM163684v1_genomic.fna.gz	94.10	64.85	68.81	NC_014328.1 Clostridium ljungdahlii DSM 13528, complete sequence	NZ_LITT01000011.1 Clostridium ljungdahlii strain ERI-2 scaffold1, whole genome shotgun sequence
/tmp/tmpflo6kvkl/genomes/GCF_000143685.1_ASM14368v1_genomic.fna.gz	/tmp/tmpflo6kvkl/genomes/GCF_004006395.2_ASM400639v2_genomic.fna.gz	93.96	66.71	67.46	NC_014328.1 Clostridium ljungdahlii DSM 13528, complete sequence	NZ_CP029758.2 Clostridium sp. AWRP chromosome, complete genome
/tmp/tmpflo6kvkl/genomes/GCF_001889365.1_ASM188936v1_genomic.fna.gz	/tmp/tmpflo6kvkl/genomes/GCF_900447155.1_53618_G01_genomic.fna.gz	91.31	55.77	58.34	NZ_CP013296.1 Clostridium botulinum strain CDC_54064 chromosome, complete genome	NZ_UFWX01000002.1 Clostridium botulinum strain NCTC13037, whole genome shotgun sequence
