scaffold	representative	dereplication_status
LFVR01000305.1	GCA_001047335.1	dereplication_representative
NZ_JOJH01000024.1	GCA_001047335.1	redundant
DNQU01000363.1	GCA_003500685.1	dereplication_representative
DNQU01000094.1	GCA_003500685.1	dereplication_representative
CP050974.2	GCA_012273535.2	dereplication_representative
JAPEQA010000001.1	GCA_026339805.1	dereplication_representative
CP118027.1	GCA_028748005.1	dereplication_representative
NZ_JBHUTM010000052.1	GCA_028748005.1	readded_by_cluster_content
NZ_CP139824.1	GCA_028748005.1	readded_by_outlier_score
NZ_JAHWGV010000014.1	GCA_028748005.1	readded_by_outlier_score
NZ_JAGPYJ010000014.1	GCA_028748005.1	readded_by_outlier_score
NZ_JBFBNI010000053.1	GCA_028748005.1	redundant
NZ_JBHVKO010000050.1	GCA_028748005.1	redundant
NZ_JBHVKS010000030.1	GCA_028748005.1	redundant
NZ_JBIBXO010000024.1	GCA_028748005.1	redundant
NZ_JBHXIF010000008.1	GCA_028748005.1	redundant
NZ_AGNH01000616.1	GCA_028748005.1	redundant
NZ_JAHWGV010000016.1	GCA_028748005.1	redundant
NZ_JBHUTM010000043.1	GCA_028748005.1	redundant
NZ_JBHVKZ010000116.1	GCA_028748005.1	redundant
NZ_JBHVLS010000043.1	GCA_028748005.1	redundant
NZ_JBIRIM010000017.1	GCA_028748005.1	redundant
NZ_JBFBNJ010000064.1	GCA_028748005.1	redundant
NZ_MUMD01000327.1	GCA_028748005.1	redundant
NZ_JBHVKP010000124.1	GCA_028748005.1	redundant
NZ_JBHVKF010000051.1	GCA_028748005.1	redundant
NZ_JAJPVU010000015.1	GCA_028748005.1	redundant
NZ_JBHVKM010000115.1	GCA_028748005.1	redundant
NZ_JAGPYJ010000045.1	GCA_028748005.1	redundant
NZ_JASBOE010000022.1	GCA_028748005.1	redundant
JARVKX010000018.1	GCA_029809515.1	dereplication_representative
NQOS01000009.1	GCA_029809515.1	redundant
BSSK01000023.1	GCA_030269085.1	dereplication_representative
NZ_BAAAVG010000484.1	GCA_030269085.1	readded_by_cluster_content
NZ_JBHYVR010000201.1	GCA_030269085.1	readded_by_cluster_content
NZ_JBHYVR010000008.1	GCA_030269085.1	redundant
JAWRCV010000001.1	GCA_033542285.1	dereplication_representative
NZ_JBIRSJ010000007.1	GCA_033542285.1	readded_by_cluster_content
CP109107.1	GCA_035917715.1	dereplication_representative
CP109097.1	GCA_035917715.1	redundant
JBHWHJ010000273.1	GCA_035917715.1	redundant
CP109220.1	GCA_035917715.1	redundant
JBHWFY010000017.1	GCA_035917715.1	redundant
CP109233.1	GCA_035917715.1	redundant
NZ_JARAYL010000025.1	GCA_035917715.1	redundant
JBEYKQ010000020.1	GCA_035917715.1	redundant
JBEOUY010000041.1	GCA_035917715.1	redundant
NZ_JAUSWC010000016.1	GCA_035917715.1	redundant
CP108345.1	GCA_036226345.1	dereplication_representative
CP108333.1	GCA_036226345.1	redundant
CP109212.1	GCA_036227045.1	dereplication_representative
CP109453.1	GCA_036227045.1	redundant
JBEPCJ010000075.1	GCA_040299565.1	dereplication_representative
NZ_JBIAMV010000009.1	GCA_040299565.1	readded_by_cluster_content
NZ_JBIAMV010000015.1	GCA_040299565.1	readded_by_cluster_content
JBEXVM010000061.1	GCA_040629365.1	dereplication_representative
JBEYKA010000040.1	GCA_040631575.1	dereplication_representative
NZ_JAATER010000104.1	GCA_040631575.1	redundant
JBEYJZ010000062.1	GCA_040631575.1	redundant
JBEYAI010000040.1	GCA_040631635.1	dereplication_representative
JBFBCK010000090.1	GCA_040677485.1	dereplication_representative
JBFAUA010000004.1	GCA_040678675.1	dereplication_representative
JBGDKM010000009.1	GCA_041199445.1	dereplication_representative
JBHUGV010000001.1	GCA_042682165.1	dereplication_representative
JBHVOW010000036.1	GCA_042887745.1	dereplication_representative
JBIBEK010000018.1	GCA_042902565.1	dereplication_representative
JBIBED010000025.1	GCA_042902565.1	redundant
JBIBBF010000020.1	GCA_042902565.1	redundant
JBIBEL010000004.1	GCA_042902565.1	redundant
JBIBAS010000019.1	GCA_042902565.1	redundant
JBIBDQ010000003.1	GCA_042902565.1	redundant
JBIBFW010000002.1	GCA_042956205.1	dereplication_representative
NZ_PKLY01000002.1	GCA_042956205.1	redundant
JBIBTS010000002.1	GCA_043078625.1	dereplication_representative
NZ_WWJF01000114.1	GCA_043078625.1	redundant
NZ_FMBX01000112.1	GCA_043078625.1	redundant
JBIENZ010000038.1	GCA_043498255.1	dereplication_representative
JBITXH010000024.1	GCA_044544505.1	dereplication_representative
JBIVDD010000004.1	GCA_044746925.1	dereplication_representative
NZ_JBFBGO010000007.1	GCA_044746925.1	redundant
JBIVQW010000003.1	GCA_044755365.1	dereplication_representative
NZ_JBEYJG010000010.1	GCA_044755365.1	readded_by_cluster_content
JBIVSF010000012.1	GCA_044755365.1	readded_by_cluster_content
NZ_JBFBGI010000017.1	GCA_044755365.1	redundant
NZ_JBFBIN010000043.1	GCA_044755365.1	redundant
NZ_JBEYJG010000006.1	GCA_044755365.1	redundant
NZ_JBEYFW010000092.1	GCA_044755365.1	redundant
NZ_JBEYFW010000105.1	GCA_044755365.1	redundant
NZ_JARXZB010000001.1	GCA_044755365.1	redundant
NZ_JARXZB010000006.1	GCA_044755365.1	redundant
JBIVAW010000011.1	GCA_044755365.1	redundant
JBIVLP010000001.1	GCA_044755365.1	redundant
JBIVUR010000001.1	GCA_044755365.1	redundant
JBIWGS010000001.1	GCA_044755365.1	redundant
NZ_JBEYGE010000015.1	GCA_044755365.1	redundant
NZ_JBEYGE010000023.1	GCA_044755365.1	redundant
JBIWMD010000012.1	GCA_044755365.1	redundant
JBIWGY010000026.1	GCA_044763835.1	dereplication_representative
NZ_JBFBDK010000028.1	GCA_044763835.1	redundant
JBIWNR010000006.1	GCA_044767305.1	dereplication_representative
NZ_JBFBFO010000001.1	GCA_044767305.1	redundant
NZ_CP096675.1	GCA_044767305.1	redundant
JBIWOR010000002.1	GCA_044767845.1	dereplication_representative
NZ_KB890924.1	GCA_044767845.1	readded_by_cluster_content
NZ_WWGV01000021.1	GCA_044767845.1	readded_by_cluster_content
NZ_KB890916.1	GCA_044767845.1	redundant
NZ_WWGV01000007.1	GCA_044767845.1	redundant
CP108113.1	GCA_045160985.1	dereplication_representative
CP109222.1	GCA_045277025.1	dereplication_representative
JBEYKI010000024.1	GCA_045277025.1	redundant
NZ_WUUF01000058.1	GCA_045277025.1	redundant
CP107798.1	GCA_045277025.1	redundant
NZ_JMLN01000012.1	GCA_045277025.1	redundant
JBEXKM010000018.1	GCA_045277025.1	redundant
NZ_CP058273.1	GCA_045277025.1	redundant
JBHXPV010000015.1	GCA_045277025.1	redundant
JBEXKR010000248.1	GCA_045277025.1	redundant
CP109308.1	GCA_045277025.1	redundant
CP109108.1	GCA_045277025.1	redundant
NZ_SSHQ01000001.1	GCA_045277025.1	redundant
CP109095.1	GCA_045277025.1	redundant
CP109094.1	GCA_045277025.1	redundant
NZ_WWIT01000213.1	GCA_045277025.1	redundant
JBKJFJ010000013.1	GCA_046614775.1	dereplication_representative
NZ_JAKMAY010000008.1	GCA_046614775.1	redundant
JBKJFL010000033.1	GCA_046614795.1	dereplication_representative
NC_007777.1	GCF_000013345.1	dereplication_representative
NZ_JPHT01000047.1	GCF_000013345.1	redundant
NZ_MBLP01000097.1	GCF_000013345.1	redundant
NZ_LRTJ01000107.1	GCF_000013345.1	redundant
NZ_JDWE01000087.1	GCF_000013345.1	redundant
NZ_MOMD01000076.1	GCF_000013345.1	redundant
NZ_JENI01000059.1	GCF_000013345.1	redundant
NZ_AYTZ01000059.1	GCF_000013345.1	redundant
NZ_MAQZ01000104.1	GCF_000013345.1	redundant
NC_013131.1	GCF_000024025.1	dereplication_representative
NC_014391.1	GCF_000145235.1	dereplication_representative
NZ_CP107893.1	GCF_000145235.1	redundant
NZ_JBEYFX010000056.1	GCF_000145235.1	redundant
MDRX01000001.1	GCF_000145235.1	redundant
NZ_GG770539.1	GCF_000154905.1	dereplication_representative
NZ_GG657742.1	GCF_000158855.1	dereplication_representative
NZ_GG657752.1	GCF_000158895.1	dereplication_representative
NZ_GG657754.1	GCF_000158915.1	dereplication_representative
NC_014666.1	GCF_000166135.1	dereplication_representative
NZ_ADGX01000029.1	GCF_000177675.1	dereplication_representative
NZ_JBEYAA010000043.1	GCF_000203835.1	readded_by_cluster_content
NZ_VNIF01000009.1	GCF_000203835.1	redundant
NZ_VNIC01000008.1	GCF_000203835.1	redundant
CP133590.1	GCF_000203835.1	redundant
NZ_JARAWB010000040.1	GCF_000203835.1	redundant
NZ_JBEZHF010000061.1	GCF_000203835.1	redundant
NZ_VNID01000008.1	GCF_000203835.1	redundant
NZ_VNIH01000008.1	GCF_000203835.1	redundant
NZ_JARAYD010000057.1	GCF_000203835.1	redundant
NZ_JBEXNH010000044.1	GCF_000203835.1	redundant
NZ_WWHF01000001.1	GCF_000203835.1	redundant
NZ_JBEZHC010000055.1	GCF_000203835.1	redundant
NZ_VNIG01000010.1	GCF_000203835.1	redundant
NZ_JBEXZZ010000026.1	GCF_000203835.1	redundant
NZ_CP042324.1	GCF_000203835.1	redundant
CP133591.1	GCF_000203835.1	redundant
NZ_CP023202.1	GCF_000220705.2	dereplication_representative
NZ_AGBF01000013.1	GCF_000225525.1	dereplication_representative
NC_018681.1	GCF_000250675.2	dereplication_representative
NZ_LRRM01000003.1	GCF_000250675.2	redundant
NZ_CAWMPC010000003.1	GCF_000250675.2	redundant
NZ_CM001489.1	GCF_000262465.1	dereplication_representative
NZ_ALAP01000101.1	GCF_000280905.1	dereplication_representative
NC_017093.1	GCF_000284295.1	dereplication_representative
NZ_JBIAKU010000020.1	GCF_000284295.1	redundant
NZ_HF570108.1	GCF_000297395.2	dereplication_representative
NZ_AMPN02000001.1	GCF_000299175.2	dereplication_representative
NZ_BAFS01000210.1	GCF_000308415.1	dereplication_representative
NZ_BAFR01000155.1	GCF_000308435.1	dereplication_representative
NZ_BAFZ01000164.1	GCF_000308575.1	dereplication_representative
NZ_BAGA01000102.1	GCF_000308595.1	dereplication_representative
NZ_BAGG01000259.1	GCF_000308695.1	dereplication_representative
NZ_BAGF01000059.1	GCF_000308755.1	dereplication_representative
NZ_BAFX01000010.1	GCF_000308815.1	dereplication_representative
NZ_BAGN01000158.1	GCF_000308835.1	dereplication_representative
NC_019673.1	GCF_000328705.1	dereplication_representative
JBEYUB010000016.1	GCF_000328705.1	redundant
NZ_ANMG01000035.1	GCF_000340415.1	dereplication_representative
NZ_ANAZ01000003.1	GCF_000340985.1	dereplication_representative
NZ_ANBD01000055.1	GCF_000341005.1	dereplication_representative
NZ_ANAX01000162.1	GCF_000341065.1	dereplication_representative
NZ_ANBA01000014.1	GCF_000341085.1	dereplication_representative
NZ_ANAD01000018.1	GCF_000341245.1	dereplication_representative
