Organism	Scaffold	Start	End	Score	SCO5086	SCO5087	SCO5088	SCO5089	assembly_file	representative	dereplication_status
Streptomyces anthocyanicus NBC_00116	NZ_CP108200.1	5404714	5408489	7.2426	1	1	1	1	GCF_045206015.1_ASM4520601v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NBC 01687	NZ_CP109205.1	3104098	3107873	7.2426	1	1	1	1	GCF_036226945.1_ASM3622694v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NBC 01636	NZ_CP109275.1	3212431	3216206	7.2423	1	1	1	1	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	dereplication_representative
Streptomyces anthocyanicus NPDC000080	NZ_JBEPFK010000234.1	5623	9398	7.2426	1	1	1	1	GCF_040426425.1_ASM4042642v1_genomic.fna.gz	GCF_040426425.1_ASM4042642v1_genomic.fna.gz	dereplication_representative
Streptomyces anthocyanicus NPDC020086	NZ_JBEXZZ010000026.1	56038	59813	7.2426	1	1	1	1	GCF_040631395.1_ASM4063139v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC020081	NZ_JBEYAA010000043.1	55925	59700	7.2426	1	1	1	1	GCF_040631415.1_ASM4063141v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC006946	NZ_JBEYIB010000026.1	114	3889	7.2424	1	1	1	1	GCF_040635595.1_ASM4063559v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC048681	NZ_JBEZHC010000055.1	81	3856	7.2424	1	1	1	1	GCF_040650395.1_ASM4065039v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC048675	NZ_JBEZHF010000061.1	15134	18909	7.2426	1	1	1	1	GCF_040650375.1_ASM4065037v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC052222	NZ_JBFAVF010000052.1	30927	34702	7.2426	1	1	1	1	GCF_040679675.1_ASM4067967v1_genomic.fna.gz	GCF_040426425.1_ASM4042642v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC057076	NZ_JBHUTJ010000226.1	40	3815	7.2426	1	1	1	1	GCF_042671425.1_ASM4267142v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC057113	NZ_JBHUUJ010000060.1	55	3830	7.2426	1	1	1	1	GCF_042671085.1_ASM4267108v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC057145	NZ_JBHUVC010000060.1	52	3827	7.2426	1	1	1	1	GCF_042669665.1_ASM4266966v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC057436	NZ_JBHVDB010000076.1	23750	27525	7.2426	1	1	1	1	GCF_042802955.1_ASM4280295v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC060051	NZ_JBHWVX010000007.1	353941	357716	7.2426	1	1	1	1	GCF_042736315.1_ASM4273631v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC060099	NZ_JBHWXH010000096.1	50	3825	7.2426	1	1	1	1	GCF_042729495.1_ASM4272949v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC060100	NZ_JBHWXI010000094.1	53	3828	7.2426	1	1	1	1	GCF_042729705.1_ASM4272970v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC060102	NZ_JBHWXJ010000070.1	48	3823	7.2426	1	1	1	1	GCF_042729575.1_ASM4272957v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC060103	NZ_JBHWXK010000070.1	55	3830	7.2426	1	1	1	1	GCF_042736495.1_ASM4273649v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC060105	NZ_JBHWXL010000072.1	85	3860	7.2426	1	1	1	1	GCF_042729775.1_ASM4272977v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC060106	NZ_JBHWXM010000005.1	169599	173374	7.2426	1	1	1	1	GCF_042729515.1_ASM4272951v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC058696	NZ_JBHXST010000007.1	55	3830	7.2422	1	1	1	1	GCF_042715095.1_ASM4271509v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC006945	NZ_JBIAFY010000002.1	57961	61736	7.2424	1	1	1	1	GCF_042869515.1_ASM4286951v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC006591	NZ_JBIAHH010000015.1	173136	176911	7.2423	1	1	1	1	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	dereplication_representative
Streptomyces anthocyanicus NPDC000667	NZ_JBIAYQ010000005.1	367775	371550	7.2426	1	1	1	1	GCF_042898335.1_ASM4289833v1_genomic.fna.gz	GCF_040426425.1_ASM4042642v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC050019	NZ_JBITKF010000005.1	353698	357473	7.2426	1	1	1	1	GCF_044460745.1_ASM4446074v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC088223	NZ_JBIUSB010000012.1	56173	59948	7.2426	1	1	1	1	GCF_044741125.1_ASM4474112v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC096390	NZ_JBIWFA010000004.1	15442	19217	7.2426	1	1	1	1	GCF_044762825.1_ASM4476282v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC003196	NZ_JBEXNH010000044.1	55896	59671	7.2425	1	1	1	1	GCF_040611035.1_ASM4061103v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC005018	NZ_JBEXIZ010000045.1	100	3875	4.1621	1	1	0	1	GCF_040608835.1_ASM4060883v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	readded_by_content
Streptomyces anthocyanicus JCM 4739	NZ_BMVQ01000009.1	366427	370202	7.2422	1	1	1	1	GCF_014650795.1_ASM1465079v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NBC 01777	NZ_CP109102.1	2895822	2899597	7.2422	1	1	1	1	GCF_035917655.1_ASM3591765v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NBC 01662	NZ_CP109242.1	3206900	3210675	7.2421	1	1	1	1	GCF_045276945.1_ASM4527694v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus IPS92w	NZ_JAPFQR010000015.1	18546	22321	7.2422	1	1	1	1	GCF_026184015.1_ASM2618401v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus JCM 5058	NZ_BMWI01000036.1	53	3828	7.2423	1	1	1	1	GCF_014651155.1_ASM1465115v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NBC_01372	NZ_CP109571.1	2842757	2846532	7.2423	1	1	1	1	GCF_045039985.1_ASM4503998v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC127065	NZ_JBHXEK010000052.1	30955	34730	7.2423	1	1	1	1	GCF_042724615.1_ASM4272461v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC059397	NZ_JBHYWQ010000041.1	30941	34716	7.2423	1	1	1	1	GCF_042751875.1_ASM4275187v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC005207	NZ_JBJDQS010000024.1	18540	22315	7.2418	1	1	1	1	GCF_044903375.1_ASM4490337v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC012316	NZ_JBIBFD010000009.1	363931	367706	7.242	1	1	1	1	GCF_042955625.1_ASM4295562v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC012293	NZ_JBIBFF010000019.1	31045	34820	7.242	1	1	1	1	GCF_042955685.1_ASM4295568v1_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces anthocyanicus NPDC086515	NZ_JBIVBU010000001.1	700395	704170	7.2421	1	1	1	1	GCF_044746245.1_ASM4474624v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces lividans 1326	NZ_CM001889.1	5571539	5575314	7.2423	1	1	1	1	GCF_000403665.1_Streptomyces_lividans_1326_genomic.fna.gz	GCF_042870335.1_ASM4287033v1_genomic.fna.gz	redundant
Streptomyces lividans TK24	NZ_CP009124.1	2963438	2967213	7.2423	1	1	1	1	GCF_000739105.1_ASM73910v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces lividans TK23	AP025539.1	5350479	5354254	4.1484	1	0	1	1	GCA_022179705.1_ASM2217970v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
Streptomyces lividans TK24 DG2-P41	CP071123.1	2970398	2974173	4.1484	1	0	1	1	GCA_017163995.1_ASM1716399v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	readded_by_content
Streptomyces lividans TK24-YQS040	CP071800.1	2969090	2972865	4.1484	1	0	1	1	GCA_017498645.1_ASM1749864v1_genomic.fna.gz	GCF_045209725.1_ASM4520972v1_genomic.fna.gz	redundant
