Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
/media/lucas/SHUTTLE/prostt5_downloads/clostridia/fnas/GCF_019042245.1.fasta.gz	/media/lucas/SHUTTLE/prostt5_downloads/clostridia/fnas/GCF_032380655.1.fasta.gz	90.80	55.21	50.55	NZ_JAHQCX010000001.1	NZ_JAWDIY010000001.1
/media/lucas/SHUTTLE/prostt5_downloads/clostridia/fnas/GCF_026650965.1.fasta.gz	/media/lucas/SHUTTLE/prostt5_downloads/clostridia/fnas/GCF_030585465.1.fasta.gz	95.08	66.27	72.99	NZ_CP086237.1	NZ_CP077615.1
/media/lucas/SHUTTLE/prostt5_downloads/clostridia/fnas/GCF_026650965.1.fasta.gz	/media/lucas/SHUTTLE/prostt5_downloads/clostridia/fnas/GCF_030585505.1.fasta.gz	94.84	66.24	68.62	NZ_CP086237.1	NZ_CP077610.1
/media/lucas/SHUTTLE/prostt5_downloads/clostridia/fnas/GCF_026650965.1.fasta.gz	/media/lucas/SHUTTLE/prostt5_downloads/clostridia/fnas/GCF_026651005.1.fasta.gz	94.73	64.98	65.00	NZ_CP086237.1	NZ_CP086243.1
/media/lucas/SHUTTLE/prostt5_downloads/clostridia/fnas/GCF_000305815.1.fasta.gz	/media/lucas/SHUTTLE/prostt5_downloads/clostridia/fnas/GCF_009796305.1.fasta.gz	95.08	67.92	68.87	NC_018867.1	NZ_CP046996.1
/media/lucas/SHUTTLE/prostt5_downloads/clostridia/fnas/GCF_022440845.1.fasta.gz	/media/lucas/SHUTTLE/prostt5_downloads/clostridia/fnas/GCF_025151995.1.fasta.gz	88.64	56.72	55.49	NZ_JAKNTO010000001.1	NZ_CP102290.1
/media/lucas/SHUTTLE/prostt5_downloads/clostridia/fnas/GCF_002160145.1.fasta.gz	/media/lucas/SHUTTLE/prostt5_downloads/clostridia/fnas/GCF_902375855.1.fasta.gz	91.08	62.68	50.28	NZ_NFKA01000001.1	NZ_CABKVM010000001.1
/media/lucas/SHUTTLE/prostt5_downloads/clostridia/fnas/GCF_002160145.1.fasta.gz	/media/lucas/SHUTTLE/prostt5_downloads/clostridia/fnas/GCF_027853465.1.fasta.gz	93.43	73.12	70.18	NZ_NFKA01000001.1	NZ_JAPNNW010000001.1
/media/lucas/SHUTTLE/prostt5_downloads/clostridia/fnas/GCF_002160145.1.fasta.gz	/media/lucas/SHUTTLE/prostt5_downloads/clostridia/fnas/GCF_002161595.1.fasta.gz	92.75	73.24	62.80	NZ_NFKA01000001.1	NZ_NFID01000001.1
/media/lucas/SHUTTLE/prostt5_downloads/clostridia/fnas/GCF_000702945.1.fasta.gz	/media/lucas/SHUTTLE/prostt5_downloads/clostridia/fnas/GCF_033100115.1.fasta.gz	90.67	56.69	62.06	NZ_JNLE01000001.1	NZ_CP136910.1
