scaffold	representative	dereplication_status
DACKLC010000007.1	GCA_015541625.1	dereplication_representative
JAJAHN010000001.1	GCA_015541625.1	readded_by_outlier_score
DAPTZL010000001.1	GCA_015541625.1	redundant
CCEN01000001.1	GCA_015541625.1	redundant
NZ_JABVWY010000001.1	GCA_015541625.1	redundant
NZ_BPRY01000001.1	GCA_015541625.1	redundant
NZ_JADANA010000003.1	GCA_015541625.1	redundant
JAJAGT010000001.1	GCA_015541625.1	redundant
NZ_BPRQ01000001.1	GCA_015541625.1	redundant
JAJAGW010000001.1	GCA_015541625.1	redundant
JAJAHA010000001.1	GCA_015541625.1	redundant
JAJAHD010000001.1	GCA_015541625.1	redundant
JAJAHL010000001.1	GCA_015541625.1	redundant
NZ_JABVXB010000001.1	GCA_015541625.1	redundant
NZ_AP024200.1	GCA_015541625.1	redundant
NZ_JABVWZ010000001.1	GCA_015541625.1	redundant
NZ_JADANG010000004.1	GCA_015541625.1	redundant
NZ_BPRW01000001.1	GCA_015541625.1	redundant
JAJAGS010000001.1	GCA_015541625.1	redundant
JAJAGV010000001.1	GCA_015541625.1	redundant
NZ_BPRN01000003.1	GCA_015541625.1	redundant
JAJAGZ010000010.1	GCA_015541625.1	redundant
JAJAHC010000001.1	GCA_015541625.1	redundant
NZ_FXVL01000001.1	GCA_015541625.1	redundant
JAJAHM010000001.1	GCA_015541625.1	redundant
NZ_FQMT01000001.1	GCA_015541625.1	redundant
DAPTYK010000001.1	GCA_015541625.1	redundant
DAPTWS010000003.1	GCA_015541625.1	redundant
JAJAGX010000001.1	GCA_015541625.1	redundant
NZ_FQMX01000001.1	GCA_015541625.1	redundant
JAJAHB010000001.1	GCA_015541625.1	redundant
NZ_FQME01000001.1	GCA_015541625.1	redundant
NZ_AP024201.1	GCA_015541625.1	redundant
NZ_BPSE01000003.1	GCA_015541625.1	redundant
NZ_JADAMW010000009.1	GCA_015541625.1	redundant
DAPTWU010000004.1	GCA_015541625.1	redundant
NZ_FQNB01000001.1	GCA_015541625.1	redundant
NZ_JABVWX010000001.1	GCA_015541625.1	redundant
NZ_JAVKRO010000001.1	GCA_015541625.1	redundant
NZ_NSBX01000007.1	GCA_015541625.1	redundant
DAPTXB010000001.1	GCA_015541625.1	redundant
NZ_FQMJ01000001.1	GCA_015541625.1	redundant
JAJAHH010000001.1	GCA_015541625.1	redundant
NZ_BPRO01000001.1	GCA_015541625.1	redundant
NZ_JAVKRU010000001.1	GCA_015541625.1	redundant
NZ_JAKKRF010000051.1	GCA_015541625.1	redundant
DAPTXK010000001.1	GCA_015541625.1	redundant
JAJAGU010000001.1	GCA_015541625.1	redundant
JAJAGY010000001.1	GCA_015541625.1	redundant
NZ_FQMI01000001.1	GCA_015541625.1	redundant
JAJAHI010000003.1	GCA_015541625.1	redundant
NZ_BLRS01000002.1	GCA_015541625.1	redundant
NZ_JAVKRP010000001.1	GCA_015541625.1	redundant
DAPTXR010000004.1	GCA_015541625.1	redundant
NZ_FQTG01000001.1	GCA_015541625.1	redundant
NZ_CP086574.1	GCA_015541625.1	redundant
NZ_JAYESL010000001.1	GCA_015541625.1	redundant
NZ_JAVKRS010000001.1	GCA_015541625.1	redundant
DAPTYJ010000004.1	GCA_015541625.1	redundant
DAPTWT010000004.1	GCA_015541625.1	redundant
DAKLYJ010000028.1	GCA_026553075.1	dereplication_representative
CP102976.1	GCA_026553075.1	redundant
DAKVJV010000051.1	GCA_026814705.1	dereplication_representative
DAHQND010000001.1	GCA_026814705.1	redundant
DAPXXY010000003.1	GCA_026814705.1	redundant
NZ_FMMV01000003.1	GCA_026814705.1	redundant
DAQDBM010000001.1	GCA_026814705.1	redundant
NZ_JALSEQ010000003.1	GCA_026814705.1	redundant
NZ_FMOE01000004.1	GCA_026814705.1	redundant
NZ_FMNQ01000002.1	GCA_026814705.1	redundant
JAKNYY010000009.1	GCA_026814705.1	redundant
NZ_CABFMG010000020.1	GCA_026814705.1	redundant
NZ_FMNW01000003.1	GCA_026814705.1	redundant
