Organism	Scaffold	Start	End	Score	ctg16_37	ctg16_38	ctg16_39	ctg16_40	ctg16_41	ctg16_42	ctg16_43	Number	Strand	Layout_group	assembly_file	representative	dereplication_status
GCF_000016505.1	NC_009706.1	3198322	3205324	7.1819	1	1	0	1	0	1	1	1	(-1, -1, -1, -1, -1)	(5, 4, 3, 2, 1)	GCF_000016505.1.fasta.gz	NC_009706.1|3198322|3205324	dereplication_representative
GCF_000018325.1	NC_009922.1	1819041	1824364	9.1899	1	1	1	1	1	0	0	2	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_000018325.1.fasta.gz	NC_009922.1|1819041|1824364	dereplication_representative
GCF_000019065.1	NC_010320.1	1489000	1496313	10.2225	1	1	0	1	1	1	1	3	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_000019065.1.fasta.gz	NC_010320.1|1489000|1496313	dereplication_representative
GCF_000020005.1	NC_010718.1	1852973	1858849	7.1288	1	1	1	1	0	0	0	4	(-1, -1, -1, -1)	(7, 6, 5, 4)	GCF_000020005.1.fasta.gz	NC_010718.1|1852973|1858849	dereplication_representative
GCF_000022065.1	NC_011898.1	616870	624663	10.2007	1	1	1	1	0	1	1	5	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_000022065.1.fasta.gz	NC_011898.1|616870|624663	dereplication_representative
GCF_000025645.1	NC_013921.1	1062800	1070115	10.2194	1	1	0	1	1	1	1	6	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_000025645.1.fasta.gz	NC_013921.1|1062800|1070115	dereplication_representative
GCF_000143685.1	NC_014328.1	3687410	3694350	7.1825	1	1	0	1	0	1	1	7	(-1, -1, -1, -1, -1)	(5, 4, 3, 2, 1)	GCF_000143685.1.fasta.gz	NC_014328.1|3687410|3694350	dereplication_representative
GCF_000145275.1	NC_014393.1	2478181	2485341	10.1838	1	1	1	1	0	2	1	8	(-1, -1, -1, -1, -1, -1)	(5, 4, 3, 2, 1, 0)	GCF_000145275.1.fasta.gz	NC_014393.1|2478181|2485341	dereplication_representative
GCF_000204565.1	NC_015425.1	1172809	1179660	7.1841	1	1	0	1	0	1	1	13	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	GCF_000204565.1.fasta.gz	NC_015425.1|1172809|1179660	dereplication_representative
GCF_000213255.1	NC_015520.1	958049	963860	8.1675	0	1	1	1	0	1	1	14	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	GCF_000213255.1.fasta.gz	NC_015520.1|958049|963860	dereplication_representative
GCF_000189775.2	NC_015555.1	1478767	1489465	10.2087	1	1	1	1	0	1	1	12	(-1, -1, -1, -1, -1, -1)	(6, 5, 4, 3, 2, 1)	GCF_000189775.2.fasta.gz	NC_015555.1|1478767|1489465	dereplication_representative
GCF_000237085.1	NC_016627.1	2438093	2442626	4.0963	0	0	0	1	0	1	1	15	(-1, -1, -1)	(2, 1, 0)	GCF_000237085.1.fasta.gz	NC_016627.1|2438093|2442626	dereplication_representative
GCF_000244875.1	NC_016791.1	1824207	1831968	10.2019	1	1	1	1	0	1	1	17	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_000244875.1.fasta.gz	NC_016791.1|1824207|1831968	dereplication_representative
GCF_000247605.1	NC_016894.1	1518938	1523141	7.143	1	1	1	1	0	0	0	18	(1, 1, 1, 1)	(4, 3, 2, 1)	GCF_000247605.1.fasta.gz	NC_016894.1|1518938|1523141	dereplication_representative
GCF_000307585.2	NC_017992.1	1754451	1761295	10.2085	1	1	1	1	0	1	1	20	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_000307585.2.fasta.gz	NC_017992.1|1754451|1761295	dereplication_representative
GCF_000389635.1	NC_021182.1	2343622	2350770	7.1845	1	1	0	1	0	1	1	23	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	GCF_000389635.1.fasta.gz	NC_021182.1|2343622|2350770	dereplication_representative
GCF_000169255.2	NZ_AAXG02000012.1	158844	168475	7.1344	1	1	1	1	0	0	0	9	(-1, -1, -1, -1)	(3, 2, 1, 0)	GCF_000169255.2.fasta.gz	NZ_AAXG02000012.1|158844|168475	dereplication_representative
GCF_000300195.1	NZ_AMQH01000006.1	374098	381023	7.188	1	1	0	1	0	1	1	19	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_000300195.1.fasta.gz	NZ_AMQH01000006.1|374098|381023	dereplication_representative
GCF_002355795.1	NZ_AP017630.1	2264091	2270589	10.1929	1	1	1	1	0	1	1	86	(-1, -1, -1, -1, -1, -1)	(6, 5, 4, 3, 2, 1)	GCF_002355795.1.fasta.gz	NZ_AP017630.1|2264091|2270589	dereplication_representative
GCF_014218335.1	NZ_AP023367.1	1231729	1239141	3.1093	0	1	0	1	0	1	1	158	(1, 1, 1)	(2, 1, 0)	GCF_014218335.1.fasta.gz	NZ_AP023367.1|1231729|1239141	dereplication_representative
GCF_016591975.1	NZ_AP024169.1	1429389	1436782	3.1113	0	1	0	1	0	1	1	182	(1, 1, 1)	(2, 1, 0)	GCF_016591975.1.fasta.gz	NZ_AP024169.1|1429389|1436782	dereplication_representative
GCF_047150065.1	NZ_AP027090.1	2744869	2751367	10.1931	1	1	1	1	0	1	1	325	(-1, -1, -1, -1, -1, -1)	(6, 5, 4, 3, 2, 1)	GCF_047150065.1.fasta.gz	NZ_AP027090.1|2744869|2751367	dereplication_representative
GCF_033097505.1	NZ_AP028654.1	1680101	1687185	13.2722	1	1	1	1	1	1	1	279	(-1, -1, -1, -1, -1, -1, -1)	(6, 5, 4, 3, 2, 1, 0)	GCF_033097505.1.fasta.gz	NZ_AP028654.1|1680101|1687185	dereplication_representative
GCF_042848755.1	NZ_AP031438.1	1471173	1476774	7.1308	1	1	1	1	0	0	0	315	(-1, -1, -1, -1)	(4, 3, 2, 1)	GCF_042848755.1.fasta.gz	NZ_AP031438.1|1471173|1476774	dereplication_representative
GCF_045865195.1	NZ_AP031606.1	2267634	2274793	7.1873	1	1	0	1	0	1	1	321	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_045865195.1.fasta.gz	NZ_AP031606.1|2267634|2274793	dereplication_representative
GCF_000421965.1	NZ_ATAY01000011.1	6297	14002	10.2003	1	1	1	1	0	1	1	24	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_000421965.1.fasta.gz	NZ_ATAY01000011.1|6297|14002	dereplication_representative
GCF_039521365.1	NZ_BAAACF010000012.1	203399	210257	5.1558	1	1	0	1	0	0	1	294	(-1, -1, -1, -1)	(3, 2, 1, 0)	GCF_039521365.1.fasta.gz	NZ_BAAACF010000012.1|203399|210257	dereplication_representative
GCF_039521425.1	NZ_BAAACI010000001.1	1106876	1113716	5.1624	1	1	0	1	0	1	1	295	(-1, -1, -1, -1)	(3, 2, 1, 0)	GCF_039521425.1.fasta.gz	NZ_BAAACI010000001.1|1106876|1113716	dereplication_representative
GCF_039521565.1	NZ_BAAACP010000006.1	140603	146307	6.1722	1	1	0	1	1	0	0	296	(1, 1, 1, 1)	(3, 2, 1, 0)	GCF_039521565.1.fasta.gz	NZ_BAAACP010000006.1|140603|146307	dereplication_representative
GCF_042845895.1	NZ_BAABYN010000001.1	2990958	2997730	6.1157	0	1	1	1	0	1	1	311	(-1, -1, -1, -1)	(5, 4, 3, 2)	GCF_042845895.1.fasta.gz	NZ_BAABYN010000001.1|2990958|2997730	dereplication_representative
GCF_042847945.1	NZ_BAABYT010000001.1	1087291	1091195	5.0926	0	1	1	1	0	0	0	313	(-1, -1, -1)	(5, 4, 3)	GCF_042847945.1.fasta.gz	NZ_BAABYT010000001.1|1087291|1091195	dereplication_representative
GCF_042848345.1	NZ_BAABZE010000001.1	5323324	5328070	3.1131	0	1	0	1	0	1	1	314	(-1, -1, -1)	(4, 3, 2)	GCF_042848345.1.fasta.gz	NZ_BAABZE010000001.1|5323324|5328070	dereplication_representative
GCF_042846325.1	NZ_BAABZG010000001.1	2210184	2221081	4.1227	1	1	0	1	0	0	0	312	(1, 1, 1)	(3, 2, 1)	GCF_042846325.1.fasta.gz	NZ_BAABZG010000001.1|2210184|2221081	dereplication_representative
