JSWS02000001.1	GCA_000772595.2
CSTN01000043.1	GCA_001213105.1
CSTQ01000052.1	GCA_001213265.1
LYVE02000003.1	GCA_001659565.2
MAJL02000001.1	GCA_001676935.2
QXJO01000001.1	GCA_003544975.1
QZCL01000029.1	GCA_003575025.1
QZCO01000003.1	GCA_003575045.1
QZCM01000069.1	GCA_003575055.1
QZCN01000024.1	GCA_003575085.1
QZPS01000045.1	GCA_003592385.1
QZPQ01000009.1	GCA_003592425.1
QZPV01000022.1	GCA_003592545.1
QZPW01000001.1	GCA_003592625.1
QZQC01000029.1	GCA_003592925.1
QZQE01000047.1	GCA_003592965.1
QZPZ01000116.1	GCA_003593005.1
QZQD01000003.1	GCA_003593125.1
QZOH01000001.1	GCA_003593325.1
QZQA01000001.1	GCA_003593355.1
QZQO01000043.1	GCA_003593385.1
QZQB01000016.1	GCA_003593405.1
QZQP01000027.1	GCA_003593625.1
QZQT01000001.1	GCA_003593905.1
QZQM01000038.1	GCA_003594005.1
QZQV01000045.1	GCA_003594045.1
QZQX01000029.1	GCA_003594245.1
QZQY01000018.1	GCA_003594265.1
QZQZ01000006.1	GCA_003594285.1
QZPN01000002.1	GCA_003594305.1
QZPP01000002.1	GCA_003594345.1
RCPP01000001.1	GCA_003642025.1
RCPG01000024.1	GCA_003642045.1
RCOV01000050.1	GCA_003642125.1
RCRD02000016.1	GCA_003642285.2
RCOX01000071.1	GCA_003642325.1
RCPO01000001.1	GCA_003642345.1
RCPU01000001.1	GCA_003642465.1
RCPF01000001.1	GCA_003642525.1
RCPE01000003.1	GCA_003642545.1
RCPJ01000001.1	GCA_003642565.1
RCQR01000001.1	GCA_003642705.1
RCSD01000001.1	GCA_003642805.1
RCSJ01000001.1	GCA_003642865.1
RCSO01000012.1	GCA_003642925.1
RCSL01000012.1	GCA_003642945.1
RCSM01000046.1	GCA_003642965.1
RCSN01000001.1	GCA_003642985.1
RCPQ01000001.1	GCA_003643045.1
RCPM01000016.1	GCA_003643145.1
RCRN01000001.1	GCA_003643205.1
RCPS01000040.1	GCA_003643225.1
RCPY01000001.1	GCA_003643325.1
RCPV01000076.1	GCA_003643365.1
RCPX01000001.1	GCA_003643385.1
RCPW01000037.1	GCA_003643425.1
RCQB01000001.1	GCA_003643445.1
RCQH01000004.1	GCA_003643525.1
RCQC01000001.1	GCA_003643545.1
RCQE01000061.1	GCA_003643585.1
RCQE01000057.1	GCA_003643585.1
RCSK01000001.1	GCA_003643745.1
REJH01000020.1	GCA_003676505.1
RELP01000003.1	GCA_003676585.1
RELT01000001.1	GCA_003676645.1
RELM01000014.1	GCA_003676665.1
RELO01000016.1	GCA_003676705.1
REVF01000001.1	GCA_003676745.1
REJC01000012.1	GCA_003676765.1
REHS01000004.1	GCA_003676825.1
REJB01000029.1	GCA_003676985.1
REJB01000003.1	GCA_003676985.1
RELU01000001.1	GCA_003677145.1
RELV01000001.1	GCA_003677305.1
RELN01000001.1	GCA_003677385.1
RELK01000001.1	GCA_003677405.1
RELI01000001.1	GCA_003677545.1
RELS01000025.1	GCA_003677605.1
REJI01000001.1	GCA_003677665.1
REJL01000015.1	GCA_003677675.1
REJM01000017.1	GCA_003677725.1
REJN01000020.1	GCA_003677745.1
REOE01000001.1	GCA_003677765.1
REOK01000004.1	GCA_003678205.1
REUO01000001.1	GCA_003678225.1
REJU01000001.1	GCA_003678245.1
REOB01000027.1	GCA_003678355.1
REJX01000001.1	GCA_003678395.1
REJZ01000001.1	GCA_003678415.1
REYV01000001.1	GCA_003678455.1
RENV01000003.1	GCA_003678475.1
REKE01000001.1	GCA_003678555.1
REKD01000028.1	GCA_003678595.1
REKD01000025.1	GCA_003678595.1
REUP01000002.1	GCA_003678615.1
REPY01000001.1	GCA_003678635.1
REOG01000002.1	GCA_003678835.1
REOC01000048.1	GCA_003679175.1
REOC01000044.1	GCA_003679175.1
REOF01000029.1	GCA_003679195.1
REOJ01000016.1	GCA_003679215.1
REOJ01000021.1	GCA_003679215.1
RELB01000002.1	GCA_003679415.1
REMB01000003.1	GCA_003679575.1
RELZ01000014.1	GCA_003679635.1
RELZ01000028.1	GCA_003679635.1
REXI01000024.1	GCA_003679695.1
REME01000001.1	GCA_003679735.1
REQE01000032.1	GCA_003679815.1
REQE01000029.1	GCA_003679815.1
REMJ01000001.1	GCA_003679915.1
REXC01000001.1	GCA_003680155.1
REQC01000027.1	GCA_003680175.1
REND01000040.1	GCA_003680475.1
REZE01000004.1	GCA_003680495.1
RENF01000001.1	GCA_003680535.1
RENG01000005.1	GCA_003680555.1
RESQ01000001.1	GCA_003680955.1
RESL01000025.1	GCA_003680975.1
RESU01000002.1	GCA_003681055.1
REXQ01000031.1	GCA_003681135.1
RESS01000025.1	GCA_003681155.1
RESK01000007.1	GCA_003681195.1
REPD01000041.1	GCA_003681315.1
RESJ01000001.1	GCA_003681335.1
RESY01000001.1	GCA_003681535.1
RESO01000001.1	GCA_003681575.1
REPN01000019.1	GCA_003681675.1
REPL01000062.1	GCA_003681695.1
REPM01000068.1	GCA_003681715.1
