LFVR01000305.1	GCA_001047335.1
PKSK01001411.1	GCA_002866845.1
QGVG02000026.1	GCA_003242745.2
DNQU01000363.1	GCA_003500685.1
DNQU01000094.1	GCA_003500685.1
WWKA01001080.1	GCA_009865415.1
CP050974.2	GCA_012273535.2
CP029377.1	GCA_015291085.1
CP071123.1	GCA_017163995.1
CP071800.1	GCA_017498645.1
AP025454.1	GCA_021654815.1
AP025539.1	GCA_022179705.1
JAPEQA010000001.1	GCA_026339805.1
CP116671.1	GCA_028370095.1
CP118027.1	GCA_028748005.1
CP072000.1	GCA_028751585.1
CP118483.1	GCA_028884895.1
JAQGDV010000002.1	GCA_029504925.1
JARVKX010000018.1	GCA_029809515.1
BSRO01000012.1	GCA_030268645.1
BSSK01000023.1	GCA_030269085.1
CP133590.1	GCA_031192905.1
CP133591.1	GCA_031192925.1
JAWRCV010000001.1	GCA_033542285.1
CP140569.1	GCA_035293445.1
CP109094.1	GCA_035917615.1
CP109095.1	GCA_035917635.1
CP109107.1	GCA_035917715.1
CP109108.1	GCA_035917735.1
CP108333.1	GCA_036204825.1
CP108345.1	GCA_036226345.1
CP109212.1	GCA_036227045.1
CP109184.1	GCA_036248335.1
CP109193.1	GCA_036249245.1
CP109194.1	GCA_036249465.1
CP109197.1	GCA_036249765.1
CP107798.1	GCA_036346015.1
JBEPCJ010000075.1	GCA_040299565.1
JBEPCK010000027.1	GCA_040299685.1
JBEOUX010000043.1	GCA_040303325.1
JBEOUY010000041.1	GCA_040303385.1
JBEXKM010000018.1	GCA_040609035.1
JBEXKP010000015.1	GCA_040610535.1
JBEXKR010000248.1	GCA_040610835.1
JBEXKS010000019.1	GCA_040611015.1
JBEXNK010000028.1	GCA_040611055.1
JBEXVM010000061.1	GCA_040629365.1
JBEYKA010000040.1	GCA_040631575.1
JBEYAI010000040.1	GCA_040631635.1
JBEYUB010000016.1	GCA_040643315.1
JBEYWT010000004.1	GCA_040644555.1
JBFAKJ010000034.1	GCA_040655655.1
JBFAKJ010000002.1	GCA_040655655.1
JBFARI010000015.1	GCA_040674015.1
JBFBCK010000090.1	GCA_040677485.1
JBFAUA010000004.1	GCA_040678675.1
JBFBCW010000104.1	GCA_040680285.1
JBEYJZ010000062.1	GCA_040703355.1
JBEYKI010000024.1	GCA_040703415.1
JBEYKQ010000020.1	GCA_040703475.1
JBGDKM010000009.1	GCA_041199445.1
