CP030479.1	GCA_008934295.1
JAAJFH010000002.1	GCA_011028965.1
DACKLC010000007.1	GCA_015541625.1
DACKLM010000001.1	GCA_015541825.1
DACLFS010000006.1	GCA_015573175.1
DACMNR010000002.1	GCA_015596065.1
DACMOH010000001.1	GCA_015596605.1
DACMOO010000001.1	GCA_015599625.1
DACMOU010000001.1	GCA_015599745.1
DADJGJ010000002.1	GCA_017083825.1
DADJHL010000028.1	GCA_017084365.1
DADJJI010000001.1	GCA_017085585.1
DADJKI010000023.1	GCA_017086125.1
DADJKP010000001.1	GCA_017086665.1
DADJLQ010000030.1	GCA_017087385.1
DADJMF010000001.1	GCA_017087505.1
DADJMD010000001.1	GCA_017087665.1
DADJNK010000056.1	GCA_017088195.1
DADJQZ010000003.1	GCA_017092245.1
DADJSM010000044.1	GCA_017092665.1
DADJTI010000002.1	GCA_017093485.1
DADJUS010000002.1	GCA_017094165.1
DADJYF010000011.1	GCA_017096145.1
DADJZM010000001.1	GCA_017096465.1
DADJZW010000011.1	GCA_017097105.1
DADKAI010000002.1	GCA_017097365.1
DADKAF010000036.1	GCA_017097425.1
DADKAO010000001.1	GCA_017097705.1
DADKAL010000002.1	GCA_017097785.1
DADKAU010000001.1	GCA_017098005.1
DADKCB010000001.1	GCA_017098625.1
DADKEN010000046.1	GCA_017099755.1
DADOKP010000070.1	GCA_017661515.1
DADOLC010000001.1	GCA_017662015.1
DADOLA010000001.1	GCA_017662075.1
DADOLM010000004.1	GCA_017662935.1
DADOLO010000049.1	GCA_017662955.1
DADOPC010000011.1	GCA_017665095.1
DADOUF010000012.1	GCA_017667795.1
DADOUA010000015.1	GCA_017667875.1
DADOWV010000001.1	GCA_017669155.1
DADOYG010000001.1	GCA_017670545.1
DADYLI010000004.1	GCA_018145415.1
DADZPL010000001.1	GCA_018165395.1
DAEGIZ010000004.1	GCA_018586645.1
DAEGJM010000001.1	GCA_018586685.1
DAEGSN010000038.1	GCA_018602835.1
JAFJRT010000002.1	GCA_020587775.1
JAFJRF010000001.1	GCA_020588315.1
JAFJQO010000001.1	GCA_020588815.1
JAHPHE010000001.1	GCA_020667055.1
JAJAHM010000001.1	GCA_022400565.1
JAJAGW010000001.1	GCA_022401065.1
JAJAGR010000001.1	GCA_022401305.1
DAHHQY010000001.1	GCA_023582245.1
DAHHYB010000001.1	GCA_023587225.1
DAHIUW010000006.1	GCA_023602345.1
JAMAXP010000002.1	GCA_023712745.1
DAHQMJ010000003.1	GCA_024018575.1
DAHQMZ010000005.1	GCA_024018895.1
DAHQND010000001.1	GCA_024018975.1
DAHQNX010000006.1	GCA_024019355.1
JANEFX010000001.1	GCA_024358285.1
JANEFR010000004.1	GCA_024358365.1
JANEFL010000001.1	GCA_024358475.1
JANEEF010000003.1	GCA_024359175.1
JANEDW010000001.1	GCA_024359725.1
JANECH010000001.1	GCA_024360365.1
JANECE010000001.1	GCA_024360465.1
JANEDI010000001.1	GCA_024361065.1
JANEAU010000013.1	GCA_024361645.1
JANEAO010000001.1	GCA_024361685.1
JAKNUY010000002.1	GCA_024894775.1
JAKNXS010000001.1	GCA_024895975.1
JAKJYB010000001.1	GCA_024896075.1
JAKNVS010000001.1	GCA_024896775.1
DAJOSV010000002.1	GCA_025706445.1
DAKBPE010000035.1	GCA_026345175.1
DAKJSP010000006.1	GCA_026508075.1
DAKJWK010000006.1	GCA_026510265.1
DAKJYW010000006.1	GCA_026511745.1
DAKVDM010000001.1	GCA_026811345.1
DAKVDL010000042.1	GCA_026811365.1
DAKYOB010000001.1	GCA_026858295.1
DAKYQT010000010.1	GCA_026859695.1
DAKYZV010000001.1	GCA_026867735.1
DAKZIM010000002.1	GCA_026877565.1
DAKZIQ010000001.1	GCA_026877585.1
DAKZIS010000004.1	GCA_026877625.1
DAKZIR010000001.1	GCA_026877665.1
DAKZJZ010000003.1	GCA_026878445.1
DAKZKB010000001.1	GCA_026878485.1
DAKZKD010000001.1	GCA_026878505.1
DAKZKH010000002.1	GCA_026878545.1
DAKZKK010000001.1	GCA_026878625.1
DAKZKI010000001.1	GCA_026878645.1
DAKZKL010000001.1	GCA_026878665.1
DAKZKJ010000001.1	GCA_026878685.1
DAKZKM010000001.1	GCA_026878705.1
DAKZKQ010000001.1	GCA_026878745.1
DAKZKO010000001.1	GCA_026878765.1
DAKZKR010000001.1	GCA_026878805.1
DAKZKU010000001.1	GCA_026878825.1
DAKZKS010000002.1	GCA_026878865.1
DAKZKW010000003.1	GCA_026878885.1
DAKZKV010000001.1	GCA_026878905.1
DAKZKY010000001.1	GCA_026878925.1
DAKZKX010000001.1	GCA_026878945.1
DAKZLD010000003.1	GCA_026879085.1
DAKZLJ010000001.1	GCA_026879145.1
DAKZLR010000003.1	GCA_026879305.1
DAKZLQ010000113.1	GCA_026879325.1
DAKZLS010000001.1	GCA_026879345.1
DAKZLT010000001.1	GCA_026879405.1
DAKZMF010000046.1	GCA_026879605.1
DAKZML010000003.1	GCA_026879725.1
DAKZMJ010000001.1	GCA_026879745.1
DAKZMQ010000003.1	GCA_026879805.1
DAKZMU010000001.1	GCA_026879825.1
DAKZMP010000001.1	GCA_026879845.1
DAKZMR010000001.1	GCA_026879865.1
DAKZNG010000002.1	GCA_026880705.1
DAKZNI010000014.1	GCA_026880745.1
DAKZNM010000001.1	GCA_026880825.1
DAKZNO010000003.1	GCA_026880845.1
DAKZNP010000002.1	GCA_026880865.1
