Organism	Scaffold	Start	End	Score	ctg16_37	ctg16_38	ctg16_39	ctg16_40	ctg16_41	ctg16_42	ctg16_43	Number	Strand	Layout_group	assembly_file	representative	dereplication_status
GCF_000016505.1	NC_009706.1	3198323	3205324	9391.0	1	1	0	1	0	1	1	197	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_000016505.1_ASM1650v1_genomic.fna.gz	GCF_000016505.1_ASM1650v1_genomic.fna.gz	dereplication_representative
GCF_000018325.1	NC_009922.1	1819042	1824364	8160.0	1	1	0	1	1	0	0	222	(-1, -1, -1, -1)	(3, 2, 1, 0)	GCF_000018325.1_ASM1832v1_genomic.fna.gz	GCF_000018325.1_ASM1832v1_genomic.fna.gz	dereplication_representative
GCF_000018425.1	NC_010424.1	1417436	1434038	6386.0	0	1	0	2	0	1	1	270	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_000018425.1_ASM1842v1_genomic.fna.gz	GCF_000018425.1_ASM1842v1_genomic.fna.gz	dereplication_representative
GCF_000020005.1	NC_010718.1	1852974	1858849	6242.0	1	1	0	1	0	0	0	298	(-1, -1, -1)	(2, 1, 0)	GCF_000020005.1_ASM2000v1_genomic.fna.gz	GCF_000020005.1_ASM2000v1_genomic.fna.gz	dereplication_representative
GCF_000022065.1	NC_011898.1	616871	624663	10429.0	1	1	0	1	1	1	1	50	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_000022065.1_ASM2206v1_genomic.fna.gz	GCF_000022065.1_ASM2206v1_genomic.fna.gz	dereplication_representative
GCF_000025645.1	NC_013921.1	1062801	1070115	10952.0	1	1	0	1	1	1	1	34	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_000025645.1_ASM2564v1_genomic.fna.gz	GCF_000025645.1_ASM2564v1_genomic.fna.gz	dereplication_representative
GCF_000145275.1	NC_014393.1	2478182	2485341	9248.0	1	1	0	1	0	1	1	210	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_000145275.1_ASM14527v1_genomic.fna.gz	GCF_000145275.1_ASM14527v1_genomic.fna.gz	dereplication_representative
GCF_000169255.2	NZ_AAXG02000012.1	158845	168475	6278.0	1	1	0	1	0	0	0	285	(-1, -1, -1)	(2, 1, 0)	GCF_000169255.2_ASM16925v2_genomic.fna.gz	GCF_000169255.2_ASM16925v2_genomic.fna.gz	dereplication_representative
GCF_000179595.2	NZ_JH556651.1	121017	125484	5068.0	0	0	0	1	0	1	1	393	(1, 1, 1)	(2, 1, 0)	GCF_000179595.2_ASM17959v2_genomic.fna.gz	GCF_000179595.2_ASM17959v2_genomic.fna.gz	dereplication_representative
GCF_000213255.1	NC_015520.1	958050	963860	7911.0	0	1	0	1	0	1	1	229	(1, 1, 1, 1)	(3, 2, 1, 0)	GCF_000213255.1_ASM21325v1_genomic.fna.gz	GCF_000213255.1_ASM21325v1_genomic.fna.gz	dereplication_representative
GCF_000237085.1	NC_016627.1	2438094	2442626	5196.0	0	0	0	1	0	1	1	381	(-1, -1, -1)	(2, 1, 0)	GCF_000237085.1_ASM23708v1_genomic.fna.gz	GCF_000237085.1_ASM23708v1_genomic.fna.gz	dereplication_representative
GCF_000242235.1	NZ_JH590863.1	529466	534352	5704.0	0	1	0	1	0	1	0	375	(1, 1, 1)	(2, 1, 0)	GCF_000242235.1_Lach_bact_ACC2_V1_genomic.fna.gz	GCF_000242235.1_Lach_bact_ACC2_V1_genomic.fna.gz	dereplication_representative
GCF_000247605.1	NC_016894.1	1518939	1523141	6561.0	1	1	0	1	0	0	0	265	(1, 1, 1)	(2, 1, 0)	GCF_000247605.1_ASM24760v1_genomic.fna.gz	GCF_000247605.1_ASM24760v1_genomic.fna.gz	dereplication_representative
GCF_000300195.1	NZ_AMQH01000006.1	374099	381023	9612.0	1	1	0	1	0	1	1	88	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_000300195.1_ASM30019v1_genomic.fna.gz	GCF_000300195.1_ASM30019v1_genomic.fna.gz	dereplication_representative
GCF_000308275.2	NZ_HG529490.1	556686	569230	4737.0	1	1	0	1	0	0	0	397	(-1, -1, -1)	(2, 1, 0)	GCF_000308275.2_LM2_genomic.fna.gz	GCF_000308275.2_LM2_genomic.fna.gz	dereplication_representative
GCF_000364165.2	NZ_CP097810.1	1403400	1406973	5121.0	0	0	0	1	0	1	1	389	(1, 1, 1)	(2, 1, 0)	GCF_000364165.2_ASM36416v2_genomic.fna.gz	GCF_000364165.2_ASM36416v2_genomic.fna.gz	dereplication_representative
GCF_000383295.1	NZ_KB911066.1	118835	123746	6322.0	1	1	0	1	0	0	0	275	(-1, -1, -1)	(2, 1, 0)	GCF_000383295.1_ASM38329v1_genomic.fna.gz	GCF_000383295.1_ASM38329v1_genomic.fna.gz	dereplication_representative
GCF_000389635.1	NC_021182.1	2343623	2350770	9450.0	1	1	0	1	0	1	1	172	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	GCF_000389635.1_ASM38963v1_genomic.fna.gz	GCF_000389635.1_ASM38963v1_genomic.fna.gz	dereplication_representative
GCF_000421965.1	NZ_ATAY01000011.1	6298	14002	10281.0	1	1	0	1	1	1	1	57	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_000421965.1_CpC7_genomic.fna.gz	GCF_000421965.1_CpC7_genomic.fna.gz	dereplication_representative
GCF_000244875.1	NC_016791.1	1824208	1831968	10399.0	1	1	0	1	1	1	1	53	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_000244875.1_ASM24487v1_genomic.fna.gz	GCF_000421965.1_CpC7_genomic.fna.gz	redundant
GCF_000430995.1	NZ_HF952018.1	1188859	1196543	10943.0	1	1	0	1	1	1	1	35	(-1, -1, -1, -1, -1, -1)	(5, 4, 3, 2, 1, 0)	GCF_000430995.1_TC1_genomic.fna.gz	GCF_000430995.1_TC1_genomic.fna.gz	dereplication_representative
GCF_000526495.1	NZ_JAGE01000001.1	3481939	3489673	10431.0	1	1	0	1	1	1	1	49	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_000526495.1_ASM52649v1_genomic.fna.gz	GCF_000526495.1_ASM52649v1_genomic.fna.gz	dereplication_representative
GCF_000577895.1	NZ_HG917868.1	2207497	2214792	9238.0	1	1	0	1	0	1	1	212	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_000577895.1_M2_40_genomic.fna.gz	GCF_000577895.1_M2_40_genomic.fna.gz	dereplication_representative
GCF_000619945.1	NZ_JHVC01000018.1	3568	10697	9524.0	1	1	0	1	0	1	1	119	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	GCF_000619945.1_ASM61994v1_genomic.fna.gz	GCF_000619945.1_ASM61994v1_genomic.fna.gz	dereplication_representative
GCF_000621485.1	NZ_JHYF01000001.1	58893	66471	11304.0	1	1	0	1	1	1	1	20	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_000621485.1_ASM62148v1_genomic.fna.gz	GCF_000621485.1_ASM62148v1_genomic.fna.gz	dereplication_representative
GCF_000621505.1	NZ_JHYD01000009.1	183433	191372	10353.0	1	1	0	1	1	1	1	55	(-1, -1, -1, -1, -1, -1)	(5, 4, 3, 2, 1, 0)	GCF_000621505.1_ASM62150v1_genomic.fna.gz	GCF_000621505.1_ASM62150v1_genomic.fna.gz	dereplication_representative
GCF_000686705.1	NZ_KK366004.1	561293	568429	9430.0	1	1	0	1	0	1	1	181	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	GCF_000686705.1_ASM68670v1_genomic.fna.gz	GCF_000686705.1_ASM68670v1_genomic.fna.gz	dereplication_representative
GCF_000686725.1	NZ_KK366008.1	171196	178008	9427.0	1	1	0	1	0	1	1	184	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_000686725.1_ASM68672v1_genomic.fna.gz	GCF_000686725.1_ASM68672v1_genomic.fna.gz	dereplication_representative
GCF_000699585.2	NZ_JJMM01000005.1	106596	113442	11225.0	1	1	0	1	1	1	1	26	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	GCF_000699585.2_CLIT1_genomic.fna.gz	GCF_000699585.2_CLIT1_genomic.fna.gz	dereplication_representative
GCF_000703125.1	NZ_JNLN01000001.1	2869230	2876146	9485.0	1	1	0	1	0	1	1	140	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_000703125.1_ASM70312v1_genomic.fna.gz	GCF_000703125.1_ASM70312v1_genomic.fna.gz	dereplication_representative
GCF_000709435.1	NZ_CP008713.1	935677	944256	9281.0	1	1	0	1	0	1	1	209	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_000709435.1_ASM70943v1_genomic.fna.gz	GCF_000709435.1_ASM70943v1_genomic.fna.gz	dereplication_representative
GCF_000724385.2	NZ_JENO01000007.1	50374	57215	9469.0	1	1	0	1	0	1	1	149	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	GCF_000724385.2_It1_0.1_genomic.fna.gz	GCF_000724385.2_It1_0.1_genomic.fna.gz	dereplication_representative
GCF_000732635.1	NZ_JPMD01000035.1	79335	86173	8169.0	1	1	0	1	0	1	0	221	(1, 1, 1, 1)	(3, 2, 1, 0)	GCF_000732635.1_CloSul1.0_genomic.fna.gz	GCF_000732635.1_CloSul1.0_genomic.fna.gz	dereplication_representative
GCF_000744935.1	NZ_JQMW01000009.1	1092501	1097146	6529.0	1	1	0	1	0	0	0	267	(-1, -1, -1)	(2, 1, 0)	GCF_000744935.1_ASM74493v1_genomic.fna.gz	GCF_000744935.1_ASM74493v1_genomic.fna.gz	dereplication_representative
GCF_000981035.1	NZ_LAYJ01000101.1	74274	86076	7037.0	1	1	0	1	1	0	0	252	(1, 1, 1, 1)	(3, 2, 1, 0)	GCF_000981035.1_ASM98103v1_genomic.fna.gz	GCF_000981035.1_ASM98103v1_genomic.fna.gz	dereplication_representative
